Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Heart Diseases Database,17_03_2022-14_11_30,-30.0,45,45,14.467896669144507,48.88135703313126,48.71333333333333,48.73333333333333,47.10333333333333,47.650000000000006,47.10333333333333,47.650000000000006,48.71333333333333,48.73333333333333,43.00000000000001,44.720000000000006
Heart Diseases Database,17_03_2022-14_14_39,-29.0,45,45,12.442985951985872,48.74905219500592,48.51333333333333,48.92999999999999,47.03666666666667,47.89333333333333,47.03666666666667,47.89333333333333,48.51333333333333,48.92999999999999,42.49666666666667,44.20666666666667
Heart Diseases Database,17_03_2022-14_18_08,-28.0,45,45,9.442039858604309,48.575572954872236,48.43666666666666,48.60666666666666,46.43333333333334,47.05666666666667,46.43333333333334,47.05666666666667,48.43666666666666,48.60666666666666,41.53,43.29333333333333
Heart Diseases Database,17_03_2022-14_21_43,-27.0,45,45,7.991261310050511,48.423184178221454,48.14333333333334,48.763333333333335,45.269999999999996,46.46333333333333,45.269999999999996,46.46333333333333,48.14333333333334,48.763333333333335,39.96333333333333,42.230000000000004
Heart Diseases Database,17_03_2022-14_25_17,-26.0,45,45,5.896779417521969,48.233903102410196,47.82333333333333,48.13666666666667,45.32666666666667,46.36666666666667,45.32666666666667,46.36666666666667,47.82333333333333,48.13666666666667,39.22,41.5
Heart Diseases Database,17_03_2022-14_29_00,-25.0,45,45,4.543590364472514,48.01970491537135,47.440000000000005,47.92333333333333,44.46333333333333,45.28,44.46333333333333,45.28,47.440000000000005,47.92333333333333,37.53666666666666,40.18666666666667
Heart Diseases Database,17_03_2022-14_32_37,-24.0,45,45,2.962069063526939,47.74824984569325,46.96,48.01,44.69333333333333,46.30333333333333,44.69333333333333,46.30333333333333,46.96,48.01,36.66666666666667,39.83
Heart Diseases Database,17_03_2022-14_36_25,-23.0,45,45,2.058573585788433,47.48834311547961,47.14333333333334,48.093333333333334,43.88999999999999,45.46,43.88999999999999,45.46,47.14333333333334,48.093333333333334,35.443333333333335,38.76666666666667
Heart Diseases Database,17_03_2022-14_40_18,-22.0,45,45,1.225532832998343,47.16568511778402,46.49333333333333,47.46,42.97666666666666,44.489999999999995,42.97666666666666,44.489999999999995,46.49333333333333,47.46,33.80333333333333,37.33666666666666
Heart Diseases Database,17_03_2022-14_44_35,-21.0,45,45,0.8584870826398826,46.86130123995366,46.18,47.39,42.25666666666667,43.879999999999995,42.25666666666667,43.879999999999995,46.18,47.39,32.79,36.053333333333335
Heart Diseases Database,17_03_2022-14_48_54,-20.0,45,45,0.4780934563583813,46.47091685152832,45.90333333333333,46.88666666666666,41.47666666666666,42.98,41.47666666666666,42.98,45.90333333333333,46.88666666666666,31.193333333333328,34.696666666666665
Heart Diseases Database,17_03_2022-14_53_06,-19.0,45,45,0.2565122627905599,46.03112582750391,44.64,46.26,40.236666666666665,42.31,40.236666666666665,42.31,44.64,46.26,29.32,33.160000000000004
Heart Diseases Database,17_03_2022-14_57_26,-18.0,45,45,0.144694256377479,45.5537197295769,44.199999999999996,45.86666666666667,39.470000000000006,41.623333333333335,39.470000000000006,41.623333333333335,44.199999999999996,45.86666666666667,27.926666666666666,32.47333333333333
Heart Diseases Database,17_03_2022-15_01_54,-17.0,45,45,0.08118659743821535,45.004303597447304,43.69333333333333,45.18,38.45666666666666,40.93,38.45666666666666,40.93,43.69333333333333,45.18,26.639999999999997,31.29333333333333
Heart Diseases Database,17_03_2022-15_06_25,-16.0,45,45,0.023496581711163367,44.39800943232758,43.376666666666665,44.85666666666667,37.370000000000005,39.82333333333333,37.370000000000005,39.82333333333333,43.376666666666665,44.85666666666667,25.34666666666666,29.40666666666667
Heart Diseases Database,17_03_2022-15_10_48,-15.0,45,45,0.007435574128701985,43.71235934224194,42.59666666666667,44.57333333333333,35.656666666666666,37.953333333333326,35.656666666666666,37.953333333333326,42.59666666666667,44.57333333333333,23.373333333333335,27.76333333333333
Heart Diseases Database,17_03_2022-15_15_21,-14.0,45,45,0.0032338917242769913,43.05317512247055,41.48666666666667,43.78333333333333,34.56333333333333,37.67333333333334,34.56333333333333,37.67333333333334,41.48666666666667,43.78333333333333,22.676666666666666,27.18666666666667
Heart Diseases Database,17_03_2022-15_19_56,-13.0,45,45,0.0009928891257314576,42.20343228473524,41.08666666666667,43.733333333333334,32.90666666666666,36.373333333333335,32.90666666666666,36.373333333333335,41.08666666666667,43.733333333333334,20.886666666666663,26.14666666666666
Heart Diseases Database,17_03_2022-15_24_39,-12.0,45,45,0.00022289130144245557,41.321645179097196,39.970000000000006,42.42333333333333,31.68333333333333,35.05666666666667,31.68333333333333,35.05666666666667,39.970000000000006,42.42333333333333,20.14666666666667,24.919999999999998
Heart Diseases Database,17_03_2022-15_29_07,-11.0,45,45,6.13650069019324e-05,40.26951555766171,38.14666666666666,41.43333333333333,29.503333333333337,33.88333333333333,29.503333333333337,33.88333333333333,38.14666666666666,41.43333333333333,18.466666666666665,23.93333333333333
Heart Diseases Database,17_03_2022-15_33_48,-10.0,45,45,2.8238995144679317e-05,39.29850041849954,37.693333333333335,40.693333333333335,28.823333333333334,32.809999999999995,28.823333333333334,32.809999999999995,37.693333333333335,40.693333333333335,18.21333333333334,23.33333333333333
Heart Diseases Database,17_03_2022-15_38_27,-9.0,45,45,7.312319650328491e-07,38.039161353927156,36.17,39.45666666666666,26.54333333333333,30.75,26.54333333333333,30.75,36.17,39.45666666666666,16.776666666666664,22.330000000000005
Heart Diseases Database,17_03_2022-15_43_04,-8.0,45,45,9.608988983981585e-08,36.67047210378097,34.70333333333333,38.836666666666666,24.919999999999998,29.800000000000004,24.919999999999998,29.800000000000004,34.70333333333333,38.836666666666666,15.93,21.73666666666667
Heart Diseases Database,17_03_2022-15_47_40,-7.0,45,45,5.993263620015139e-09,35.245640837650924,32.75333333333334,37.39666666666667,22.95666666666667,28.1,22.95666666666667,28.1,32.75333333333334,37.39666666666667,14.880000000000004,20.450000000000003
Heart Diseases Database,17_03_2022-15_52_09,-6.0,45,45,5.793176235021253e-11,33.50782447836417,31.299999999999994,36.64333333333334,20.91666666666666,26.833333333333332,20.91666666666666,26.833333333333332,31.299999999999994,36.64333333333334,13.966666666666672,20.289999999999996
Heart Diseases Database,17_03_2022-15_56_38,-5.0,45,45,5.77849731027887e-12,31.958630912811774,29.77333333333333,35.32666666666666,19.999999999999996,25.6,19.999999999999996,25.6,29.77333333333333,35.32666666666666,13.73333333333333,19.58
Heart Diseases Database,17_03_2022-16_01_05,-4.000000000000001,45,45,1.8226161320929653e-16,29.97237066487169,27.549999999999997,33.39333333333333,18.593333333333327,24.19,18.593333333333327,24.19,27.549999999999997,33.39333333333333,13.286666666666669,19.069999999999997
Heart Diseases Database,17_03_2022-16_05_36,-3.0000000000000004,45,45,3.3306690738754695e-18,28.226505265336304,26.060000000000006,32.62666666666667,17.433333333333334,23.813333333333333,17.433333333333334,23.813333333333333,26.060000000000006,32.62666666666667,12.743333333333329,19.230000000000004
Heart Diseases Database,17_03_2022-16_10_19,-2.0,45,45,0.0,26.174493691527907,24.519999999999996,31.736666666666668,16.036666666666665,22.76666666666667,16.036666666666665,22.76666666666667,24.519999999999996,31.736666666666668,12.319999999999997,18.936666666666667
Heart Diseases Database,17_03_2022-16_15_18,-1.0,45,45,0.0,23.556048819998917,22.306666666666665,29.569999999999997,14.806666666666668,21.87,14.806666666666668,21.87,22.306666666666665,29.569999999999997,11.863333333333337,19.020000000000003
Heart Diseases Database,17_03_2022-16_20_23,0.0,45,45,0.0,21.240346197875766,20.173333333333332,28.859999999999996,13.660000000000005,21.020000000000007,13.660000000000005,21.020000000000007,20.173333333333332,28.859999999999996,11.216666666666663,18.996666666666663
Heart Diseases Database,17_03_2022-16_25_44,1.0000000000000002,45,45,0.0,19.1619886075335,19.236666666666668,27.706666666666667,13.460000000000004,20.87,13.460000000000004,20.87,19.236666666666668,27.706666666666667,11.370000000000003,18.933333333333337
Heart Diseases Database,17_03_2022-16_31_21,2.0000000000000004,45,45,0.0,16.891437361616315,17.900000000000006,27.096666666666668,12.570000000000004,20.413333333333338,12.570000000000004,20.413333333333338,17.900000000000006,27.096666666666668,11.053333333333338,18.83666666666667
Heart Diseases Database,17_03_2022-16_37_25,3.0,45,45,0.0,14.586938735212481,16.073333333333327,25.8,11.653333333333338,20.16,11.653333333333338,20.16,16.073333333333327,25.8,10.576666666666668,19.08333333333333
