Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Parkinson Database,16_03_2022-23_45_05,-30.0,30,0.3,46.63056302450717,49.88741730908907,48.03076923076923,48.30769230769231,46.32820512820513,46.71794871794872,49.4,49.32820512820513,48.03076923076923,48.30769230769231,49.29743589743589,49.17435897435898
Parkinson Database,16_03_2022-23_47_18,-29.0,30,0.3,46.22763930627494,49.8738910270282,48.723076923076924,48.38461538461538,46.12307692307692,46.810256410256414,49.54358974358974,49.84102564102564,48.723076923076924,48.38461538461538,49.0051282051282,49.31282051282051
Parkinson Database,16_03_2022-23_49_24,-28.0,30,0.3,45.76169409559869,49.85821137335517,48.18974358974359,48.148717948717945,45.9025641025641,46.37435897435898,49.50769230769231,49.641025641025635,48.18974358974359,48.148717948717945,48.78461538461538,49.04102564102564
Parkinson Database,16_03_2022-23_51_46,-27.0,30,0.3,45.24092830759688,49.84059696737324,47.87179487179487,48.389743589743595,44.96923076923077,45.723076923076924,49.09230769230769,49.251282051282054,47.87179487179487,48.389743589743595,48.06153846153847,48.49743589743589
Parkinson Database,16_03_2022-23_54_11,-26.0,30,0.3,44.68841374742951,49.82189414642847,47.282051282051285,47.44102564102563,44.44102564102565,45.225641025641025,48.96923076923076,49.282051282051285,47.282051282051285,47.44102564102563,48.32820512820513,48.569230769230764
Parkinson Database,16_03_2022-23_56_28,-25.0,30,0.3,44.016032380162876,49.79900492648149,47.174358974358974,47.48717948717949,44.61538461538461,44.63076923076923,50.02051282051282,49.4,47.174358974358974,47.48717948717949,48.68205128205128,48.35897435897436
Parkinson Database,16_03_2022-23_58_49,-24.0,30,0.3,43.3112768669077,49.77494218201682,47.13333333333334,46.87179487179487,42.79487179487179,43.651282051282045,48.68717948717949,48.69230769230769,47.13333333333334,46.87179487179487,47.48205128205129,47.794871794871796
Parkinson Database,17_03_2022-00_01_12,-23.0,30,0.3,42.498404013142085,49.74694979995934,46.43589743589743,47.24102564102564,42.59487179487179,43.841025641025645,48.73333333333333,48.94358974358974,46.43589743589743,47.24102564102564,47.43589743589743,47.55384615384616
Parkinson Database,17_03_2022-00_03_40,-22.0,30,0.3,41.64276447608223,49.717248128660955,45.78461538461538,46.08205128205128,41.774358974358975,42.67692307692308,48.85641025641026,48.73333333333333,45.78461538461538,46.08205128205128,47.45128205128205,47.830769230769235
Parkinson Database,17_03_2022-00_06_13,-21.0,30,0.3,40.65159749701648,49.68244511743923,45.738461538461536,46.08205128205128,41.312820512820515,41.94358974358975,49.07692307692307,48.846153846153854,45.738461538461536,46.08205128205128,47.261538461538464,47.246153846153845
Parkinson Database,17_03_2022-00_08_49,-20.0,30,0.3,39.51013932553461,49.641985318462005,45.333333333333336,45.774358974358975,39.784615384615385,40.99487179487179,48.82564102564103,49.08205128205129,45.333333333333336,45.774358974358975,46.753846153846155,47.34871794871795
