Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Wisconsin Breast Cancer Database,19_02_2022-22_22_42,-30.0,30,0.3,46.48595177907842,49.88263440608193,47.91228070175438,47.93859649122807,46.00877192982457,46.29824561403508,49.21929824561404,49.35087719298246,47.91228070175438,47.93859649122807,48.85087719298246,49.122807017543856
Wisconsin Breast Cancer Database,19_02_2022-22_24_03,-25.0,30,0.3,43.806287578309735,49.79227363559118,46.09649122807018,46.05263157894737,43.42105263157895,43.51754385964912,49.64912280701754,49.51754385964912,46.09649122807018,46.05263157894737,48.43859649122807,48.482456140350884
Wisconsin Breast Cancer Database,19_02_2022-22_25_21,-20.0,30,0.3,38.94573087106532,49.62443584009325,41.921052631578945,41.98245614035088,37.71929824561403,37.8859649122807,48.526315789473685,48.2719298245614,41.921052631578945,41.98245614035088,46.39473684210527,46.280701754385966
Wisconsin Breast Cancer Database,19_02_2022-22_26_52,-15.0,30,0.3,30.95718241229507,49.32797959538306,35.26315789473684,35.631578947368425,30.36842105263158,31.000000000000007,47.71929824561404,48.05263157894737,35.26315789473684,35.631578947368425,45.228070175438596,45.40350877192982
Wisconsin Breast Cancer Database,19_02_2022-22_28_27,-10.0,30,0.3,20.474422438727995,48.83873111519288,28.324561403508774,28.929824561403507,21.517543859649123,22.43859649122807,47.35087719298245,47.71052631578947,28.324561403508774,28.929824561403507,42.50000000000001,42.85964912280702
Wisconsin Breast Cancer Database,19_02_2022-22_30_06,-5.0,30,0.3,8.909007700142206,47.91565502955779,17.377192982456137,18.482456140350877,11.789473684210527,13.122807017543858,44.56140350877193,44.59649122807018,17.377192982456137,18.482456140350877,35.7719298245614,36.10526315789474
Wisconsin Breast Cancer Database,19_02_2022-22_31_49,0.0,30,0.3,1.9697968668709216,46.27324315430027,8.48245614035088,9.850877192982455,6.236842105263163,8.114035087719296,39.771929824561404,40.05263157894737,8.48245614035088,9.850877192982455,26.3421052631579,27.500000000000004
Wisconsin Breast Cancer Database,19_02_2022-22_33_40,5.0,30,0.3,0.1586161188023086,43.47339078511089,4.29824561403509,6.377192982456137,3.552631578947374,5.842105263157893,34.44736842105263,34.87719298245614,4.29824561403509,6.377192982456137,17.69298245614035,19.14035087719298
Wisconsin Breast Cancer Database,19_02_2022-22_35_32,10.0,30,0.3,0.0017077647398324848,38.57338542556887,2.1842105263157885,4.736842105263161,2.149122807017545,4.5789473684210495,27.385964912280702,27.97368421052632,2.1842105263157885,4.736842105263161,10.912280701754383,12.517543859649127
Wisconsin Breast Cancer Database,19_02_2022-22_37_17,15.0,30,0.3,3.622134350350929e-08,30.185975156458138,1.1842105263157876,4.122807017543861,1.403508771929829,4.18421052631579,16.64035087719298,17.438596491228076,1.1842105263157876,4.122807017543861,6.692982456140351,8.59649122807018
