Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Heart Diseases Database,18_08_2022-02_32_34,-30.0,45,45,11.320921708607282,48.89876610480179,49.03333333333333,49.28666666666667,47.28,47.519999999999996,47.28,47.519999999999996,49.03333333333333,49.28666666666667,41.76,42.57333333333333
Heart Diseases Database,18_08_2022-02_32_52,-29.0,45,45,8.858654672883885,48.764440757751984,48.633333333333326,48.766666666666666,46.64666666666667,47.473333333333336,46.64666666666667,47.473333333333336,48.633333333333326,48.766666666666666,39.58666666666667,41.52
Heart Diseases Database,18_08_2022-02_33_09,-28.0,45,45,6.6262561252138115,48.61374400864065,47.88666666666666,48.153333333333336,46.06666666666667,46.8,46.06666666666667,46.8,47.88666666666666,48.153333333333336,39.4,40.693333333333335
Heart Diseases Database,18_08_2022-02_33_28,-27.0,45,45,4.6948694958349035,48.44468598284102,48.28,48.46666666666667,46.14,46.52666666666667,46.14,46.52666666666667,48.28,48.46666666666667,38.04666666666666,39.48666666666667
Heart Diseases Database,18_08_2022-02_33_49,-26.0,45,45,3.115468583861673,48.255037193293425,47.45333333333333,48.14666666666667,45.266666666666666,45.77333333333333,45.266666666666666,45.77333333333333,47.45333333333333,48.14666666666667,36.480000000000004,37.96000000000001
Heart Diseases Database,18_08_2022-02_34_27,-25.0,45,45,1.908994874784671,48.04230061626129,46.88,47.906666666666666,44.31333333333334,45.43333333333334,44.31333333333334,45.43333333333334,46.88,47.906666666666666,34.78666666666667,37.160000000000004
Heart Diseases Database,18_08_2022-02_36_02,-24.0,45,45,1.0608864267685212,47.80368089934937,47.04666666666667,47.84666666666667,44.29333333333333,45.36,44.29333333333333,45.36,47.04666666666667,47.84666666666667,33.78,36.153333333333336
Heart Diseases Database,18_08_2022-02_36_28,-23.0,45,45,0.522674604680009,47.536050572825836,47.27333333333333,47.419999999999995,43.79333333333333,44.379999999999995,43.79333333333333,44.379999999999995,47.27333333333333,47.419999999999995,31.653333333333332,33.82666666666667
Heart Diseases Database,18_08_2022-02_38_02,-22.0,45,45,0.22183303280740554,47.235913209449535,46.64,46.64,42.28666666666666,42.993333333333325,42.28666666666666,42.993333333333325,46.64,46.64,29.520000000000003,32.17333333333333
Heart Diseases Database,18_08_2022-02_39_40,-21.0,45,45,0.07824498060067031,46.89936359733186,45.36,46.599999999999994,40.92,42.21333333333334,40.92,42.21333333333334,45.36,46.599999999999994,27.6,30.600000000000005
Heart Diseases Database,18_08_2022-02_41_16,-20.0,45,45,0.02193442905649449,46.52204517450721,45.86666666666667,45.89333333333333,40.88666666666667,42.02,40.88666666666667,42.02,45.86666666666667,45.89333333333333,26.206666666666667,29.020000000000003
Heart Diseases Database,18_08_2022-02_42_52,-19.0,45,45,0.004623235502464542,46.09910525017265,44.42,44.96666666666667,39.56666666666667,41.14,39.56666666666667,41.14,44.42,44.96666666666667,24.093333333333334,27.333333333333332
Heart Diseases Database,18_08_2022-02_44_28,-18.0,45,45,0.0006838196294881056,45.62514894360948,44.599999999999994,45.28,37.973333333333336,39.42666666666666,37.973333333333336,39.42666666666666,44.599999999999994,45.28,21.926666666666673,25.553333333333327
Heart Diseases Database,18_08_2022-02_46_05,-17.0,45,45,6.513068261363807e-05,45.09419335899414,43.58666666666666,44.54666666666667,37.21333333333333,38.42666666666666,37.21333333333333,38.42666666666666,43.58666666666666,44.54666666666667,20.46,23.84666666666667
Heart Diseases Database,18_08_2022-02_47_42,-16.0,45,45,3.5897039660226504e-06,44.49962435172231,43.03333333333333,44.086666666666666,35.32666666666666,37.46000000000001,35.32666666666666,37.46000000000001,43.03333333333333,44.086666666666666,18.87333333333333,22.593333333333334
