Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Heart Diseases Database,18_08_2022-01_34_38,-30.0,45,6.708203932499369,31.649838254824513,49.57476498603938,48.84666666666667,48.62,47.086666666666666,47.260000000000005,48.986666666666665,48.919999999999995,48.84666666666667,48.62,46.379999999999995,46.56666666666667
Heart Diseases Database,18_08_2022-01_34_59,-29.0,45,6.708203932499369,29.62655889404276,49.52288108709666,48.546666666666674,48.919999999999995,46.64666666666667,46.96666666666667,48.56666666666667,48.540000000000006,48.546666666666674,48.919999999999995,46.34,46.540000000000006
Heart Diseases Database,18_08_2022-01_35_20,-28.0,45,6.708203932499369,27.43773071238977,49.464667475872936,48.51333333333333,48.43333333333333,45.91333333333333,46.153333333333336,48.28,48.14666666666667,48.51333333333333,48.43333333333333,45.40666666666666,45.43333333333334
Heart Diseases Database,18_08_2022-01_35_39,-27.0,45,6.708203932499369,25.09126453305366,49.399352256523,47.63333333333334,47.660000000000004,45.120000000000005,46.0,47.85333333333334,48.46666666666667,47.63333333333334,47.660000000000004,45.12666666666667,45.31333333333334
Heart Diseases Database,18_08_2022-01_35_58,-26.0,45,6.708203932499369,22.604004466297464,49.32606953156659,47.57333333333334,48.053333333333335,44.8,45.45333333333333,47.82666666666666,47.94666666666667,47.57333333333334,48.053333333333335,44.513333333333335,45.379999999999995
Heart Diseases Database,18_08_2022-01_36_27,-25.0,45,6.708203932499369,20.00392130594885,49.24384800780224,47.00666666666666,47.86,43.993333333333325,45.553333333333335,47.36666666666667,48.660000000000004,47.00666666666666,47.86,43.24666666666667,44.71333333333334
Heart Diseases Database,18_08_2022-01_37_23,-24.0,45,6.708203932499369,17.331954823644935,49.151598243200276,45.92,47.24,44.20666666666667,44.99333333333333,48.36666666666667,48.486666666666665,45.92,47.24,43.486666666666665,44.58
Heart Diseases Database,18_08_2022-01_37_43,-23.0,45,6.708203932499369,14.642906797362565,49.048098381834414,46.93333333333334,47.626666666666665,43.11333333333334,44.26,47.39333333333333,47.96666666666667,46.93333333333334,47.626666666666665,42.13333333333333,43.493333333333325
Heart Diseases Database,18_08_2022-01_38_40,-22.0,45,6.708203932499369,12.0046087061521,48.93197821056967,46.62666666666667,46.86666666666667,41.87333333333333,43.50000000000001,46.593333333333334,47.540000000000006,46.62666666666667,46.86666666666667,40.733333333333334,42.279999999999994
Heart Diseases Database,18_08_2022-01_39_36,-21.0,45,6.708203932499369,9.494557923895755,48.80170135839024,45.86666666666667,46.74666666666667,41.42666666666667,42.879999999999995,46.52666666666667,47.16666666666667,45.86666666666667,46.74666666666667,40.63333333333333,41.80666666666667
Heart Diseases Database,18_08_2022-01_40_33,-20.0,45,6.708203932499369,7.193485999594497,48.655545447982625,46.14666666666667,46.14666666666667,40.66,42.00666666666667,46.21333333333333,46.8,46.14666666666667,46.14666666666667,39.18000000000001,40.96666666666666
Heart Diseases Database,18_08_2022-01_41_29,-19.0,45,6.708203932499369,5.176005399298752,48.491580000829146,45.593333333333334,46.166666666666664,39.55333333333333,40.75333333333333,45.86,46.28666666666666,45.593333333333334,46.166666666666664,37.77333333333333,39.026666666666664
Heart Diseases Database,18_08_2022-01_43_05,-18.0,45,6.708203932499369,3.4995275137109703,48.307641893808224,43.78666666666666,44.93333333333334,37.953333333333326,39.79333333333334,45.28666666666666,46.14,43.78666666666666,44.93333333333334,36.693333333333335,38.346666666666664
Heart Diseases Database,18_08_2022-01_44_43,-17.0,45,6.708203932499369,2.1937540948929772,48.10130817019316,43.486666666666665,44.3,37.839999999999996,38.93333333333333,45.67333333333333,45.726666666666674,43.486666666666665,44.3,35.73333333333333,37.373333333333335
Heart Diseases Database,18_08_2022-01_46_22,-16.0,45,6.708203932499369,1.253742411042888,47.869866025496236,43.766666666666666,44.27333333333333,35.83333333333333,37.71333333333333,43.93333333333334,44.61333333333334,43.766666666666666,44.27333333333333,33.95333333333333,36.20666666666666
Heart Diseases Database,18_08_2022-01_47_20,-15.0,45,6.708203932499369,0.6394223956564402,47.61027982517768,42.52666666666667,43.89999999999999,34.5,36.31333333333333,44.053333333333335,44.62666666666667,42.52666666666667,43.89999999999999,32.333333333333336,34.70666666666666
Heart Diseases Database,18_08_2022-01_48_18,-14.0,45,6.708203932499369,0.2832684079567457,47.319155075956566,41.346666666666664,42.25333333333333,31.46,33.96666666666667,41.64,42.81333333333334,41.346666666666664,42.25333333333333,29.57333333333333,32.18666666666666
Heart Diseases Database,18_08_2022-01_49_16,-13.0,45,6.708203932499369,0.1053740979168667,46.99269937808736,40.38666666666667,41.666666666666664,30.34,33.00666666666666,42.013333333333335,43.346666666666664,40.38666666666667,41.666666666666664,28.04,30.759999999999998
Heart Diseases Database,18_08_2022-01_50_16,-12.0,45,6.708203932499369,0.031556299320464914,46.62668055058959,39.31333333333333,40.513333333333335,28.193333333333335,31.35333333333333,40.15333333333333,41.99333333333334,39.31333333333333,40.513333333333335,26.17333333333334,29.439999999999998
Heart Diseases Database,18_08_2022-01_50_38,-11.0,45,6.708203932499369,0.0072196737181089415,46.21638236996015,38.32666666666667,39.62,26.73333333333333,29.78666666666666,40.48666666666667,41.35333333333333,38.32666666666667,39.62,24.693333333333335,27.506666666666668
Heart Diseases Database,18_08_2022-01_51_38,-10.0,45,6.708203932499369,0.0011823683687606275,45.75655873007244,36.68,38.25333333333333,24.84666666666666,28.139999999999997,38.873333333333335,39.92666666666666,36.68,38.25333333333333,22.793333333333333,26.02
Heart Diseases Database,18_08_2022-01_52_38,-9.0,45,6.708203932499369,0.00012781402912711225,45.24138756400762,35.84666666666667,38.04666666666666,22.74666666666667,26.38666666666667,36.96666666666667,38.85999999999999,35.84666666666667,38.04666666666666,20.953333333333333,24.460000000000004
Heart Diseases Database,18_08_2022-01_53_06,-8.0,45,6.708203932499369,8.244858110499173e-06,44.664426631487785,34.07333333333333,36.38,20.87333333333333,24.84666666666666,36.21333333333333,37.93333333333333,34.07333333333333,36.38,19.113333333333337,23.18
Heart Diseases Database,18_08_2022-01_54_08,-7.0,45,6.708203932499369,2.7998227107121586e-07,44.01857435344386,31.886666666666663,33.940000000000005,19.340000000000003,23.806666666666665,34.540000000000006,36.51333333333333,31.886666666666663,33.940000000000005,18.133333333333333,22.01333333333333
Heart Diseases Database,18_08_2022-01_54_37,-6.0,45,6.708203932499369,4.2820479569568324e-09,43.296040378893956,29.833333333333336,32.71333333333334,17.546666666666667,22.373333333333335,33.45333333333333,35.653333333333336,29.833333333333336,32.71333333333334,16.32,20.399999999999995
Heart Diseases Database,18_08_2022-01_55_39,-5.0,45,6.708203932499369,2.4257540420791134e-11,42.48833263882787,28.293333333333337,31.200000000000006,15.666666666666663,20.96,31.906666666666673,34.25333333333334,28.293333333333337,31.200000000000006,14.880000000000004,19.040000000000003
Heart Diseases Database,18_08_2022-01_56_37,-4.000000000000001,45,6.708203932499369,3.969047313034951e-14,41.58627044644206,26.21333333333333,29.546666666666667,14.466666666666672,20.346666666666668,29.759999999999998,32.61333333333334,26.21333333333333,29.546666666666667,14.146666666666663,18.253333333333334
Heart Diseases Database,18_08_2022-01_57_31,-3.0000000000000004,45,6.708203932499369,0.0,40.58003693316576,24.173333333333336,28.293333333333337,13.139999999999997,19.193333333333328,28.459999999999997,31.540000000000003,24.173333333333336,28.293333333333337,13.219999999999999,17.433333333333334
Heart Diseases Database,18_08_2022-01_58_32,-2.0,45,6.708203932499369,0.0,39.45928895149384,22.366666666666667,26.206666666666667,12.766666666666671,19.086666666666662,26.74,29.793333333333337,22.366666666666667,26.206666666666667,12.4,16.92
Heart Diseases Database,18_08_2022-02_00_15,-1.0,45,6.708203932499369,0.0,38.213348654886545,20.57333333333333,24.586666666666666,11.799999999999999,18.533333333333335,25.53333333333333,28.826666666666668,20.57333333333333,24.586666666666666,12.119999999999997,16.24
