Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Parkinson Database,17_08_2022-18_15_58,-30.0,30,0.3,46.553199389417145,49.8848647714083,48.57435897435898,48.92307692307693,46.96410256410256,49.42564102564102,49.938461538461546,50.430769230769236,48.57435897435898,48.92307692307693,49.11794871794872,50.55384615384615
Parkinson Database,17_08_2022-18_16_11,-29.0,30,0.3,46.134730122736,49.87081622713247,48.34871794871795,48.77948717948718,47.11794871794872,48.266666666666666,50.05128205128205,49.55897435897436,48.34871794871795,48.77948717948718,49.05641025641025,49.11794871794872
Parkinson Database,17_08_2022-18_16_23,-28.0,30,0.3,45.66606367441212,49.85505353352232,48.184615384615384,48.96410256410256,46.44102564102565,48.676923076923075,50.13333333333334,50.17435897435898,48.184615384615384,48.96410256410256,48.97435897435898,50.16410256410256
Parkinson Database,17_08_2022-18_16_35,-27.0,30,0.3,45.14142815997817,49.83736754605978,48.256410256410255,49.343589743589746,45.8974358974359,48.235897435897435,49.569230769230764,49.42564102564102,48.256410256410255,49.343589743589746,48.97435897435898,48.851282051282055
Parkinson Database,17_08_2022-18_17_04,-26.0,30,0.3,44.55449057619915,49.81752360623693,46.94358974358974,47.86666666666667,45.08717948717948,47.85641025641026,49.42564102564102,49.24102564102564,46.94358974358974,47.86666666666667,48.35897435897436,49.302564102564105
Parkinson Database,17_08_2022-18_17_17,-25.0,30,0.3,43.89834546385449,49.79525843064883,48.02051282051282,48.49230769230769,45.80512820512821,48.51282051282051,51.04615384615385,50.49230769230769,48.02051282051282,48.49230769230769,49.11794871794872,49.87692307692308
Parkinson Database,17_08_2022-18_17_29,-24.0,30,0.3,43.16552428401937,49.770276621428884,47.84615384615385,48.194871794871794,44.174358974358974,47.333333333333336,49.50769230769231,49.13846153846154,47.84615384615385,48.194871794871794,47.93846153846154,49.41538461538462
Parkinson Database,17_08_2022-18_17_42,-23.0,30,0.3,42.34803604190345,49.7422467522255,47.220512820512816,48.51282051282051,43.784615384615385,47.353846153846156,49.82564102564102,49.723076923076924,47.220512820512816,48.51282051282051,47.4051282051282,49.128205128205124
Parkinson Database,17_08_2022-18_17_55,-22.0,30,0.3,41.437453460828856,49.71079697845093,46.215384615384615,48.71794871794872,42.33846153846154,47.199999999999996,49.17948717948718,49.91794871794871,46.215384615384615,48.71794871794872,46.71794871794872,49.01538461538462
Parkinson Database,17_08_2022-18_18_07,-21.0,30,0.3,40.425063675441315,49.67551011454952,45.733333333333334,48.03076923076923,41.32307692307692,47.353846153846156,48.93333333333333,50.225641025641025,45.733333333333334,48.03076923076923,45.90769230769231,49.37435897435898
Parkinson Database,17_08_2022-18_18_19,-20.0,30,0.3,39.302107872461995,49.635918114315125,45.27179487179487,47.42564102564103,40.74871794871795,45.95897435897436,49.02564102564102,49.04615384615385,45.27179487179487,47.42564102564103,46.369230769230775,48.48205128205129
Parkinson Database,17_08_2022-18_18_30,-19.0,30,0.3,38.060140114112066,49.59149588298006,44.41025641025641,46.95384615384616,39.03589743589744,46.46153846153847,48.14358974358974,50.44102564102564,44.41025641025641,46.95384615384616,44.717948717948715,49.33333333333333
Parkinson Database,17_08_2022-18_19_14,-18.0,30,0.3,36.69154066231691,49.541654341686865,43.733333333333334,47.03589743589743,37.54871794871795,45.65128205128205,48.256410256410255,49.26153846153846,43.733333333333334,47.03589743589743,44.25641025641026,48.07179487179487
Parkinson Database,17_08_2022-18_19_59,-17.0,30,0.3,35.19022135292044,49.48573265620118,43.68205128205128,47.21025641025641,36.91282051282051,44.769230769230774,48.317948717948724,48.68717948717949,43.68205128205128,47.21025641025641,43.856410256410264,47.54871794871794
Parkinson Database,17_08_2022-18_20_43,-16.0,30,0.3,33.552556188917144,49.422989532203566,42.34871794871795,45.71282051282052,35.13846153846154,43.95897435897436,47.897435897435905,48.656410256410254,42.34871794871795,45.71282051282052,43.825641025641026,47.8051282051282
