Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Wisconsin Breast Cancer Database,19_08_2022-09_56_19,-30.0,60,0.6,42.67218036614933,49.87712210620538,46.45964912280702,46.550877192982455,45.41754385964912,45.38245614035088,49.92280701754386,49.887719298245614,46.45964912280702,46.550877192982455,49.05263157894737,49.03157894736842
Wisconsin Breast Cancer Database,19_08_2022-09_56_48,-29.0,60,0.6,41.790988771843814,49.862128796240476,45.85964912280702,45.94385964912281,44.24912280701755,44.23508771929825,49.50526315789474,49.484210526315785,45.85964912280702,45.94385964912281,48.93684210526315,48.90877192982456
Wisconsin Breast Cancer Database,19_08_2022-09_57_16,-28.0,60,0.6,40.80754967224649,49.84530605081118,45.603508771929825,45.56842105263158,43.62456140350878,43.603508771929825,49.89473684210526,49.86666666666667,45.603508771929825,45.56842105263158,48.5578947368421,48.67017543859649
Wisconsin Breast Cancer Database,19_08_2022-09_57_44,-27.0,60,0.6,39.711514183555174,49.82643065536088,44.99999999999999,45.04912280701754,42.86666666666667,42.92982456140351,49.5719298245614,49.592982456140355,44.99999999999999,45.04912280701754,48.4140350877193,48.4701754385965
Wisconsin Breast Cancer Database,19_08_2022-09_58_09,-26.0,60,0.6,38.49211108557854,49.80525216329996,43.729824561403504,43.84912280701755,42.02807017543859,42.13333333333333,49.21052631578947,49.28070175438597,43.729824561403504,43.84912280701755,48.37543859649123,48.42456140350877
Wisconsin Breast Cancer Database,19_08_2022-09_58_33,-25.0,60,0.6,37.13841391879672,49.781489574952495,43.242105263157896,43.319298245614036,41.017543859649116,40.92631578947369,49.27719298245614,49.11578947368421,43.242105263157896,43.319298245614036,47.91228070175438,47.954385964912284
Wisconsin Breast Cancer Database,19_08_2022-09_58_57,-24.0,60,0.6,35.639751264863705,49.754827611998905,42.87368421052632,42.86666666666667,39.940350877192984,39.96842105263158,49.192982456140356,49.122807017543856,42.87368421052632,42.86666666666667,47.83157894736843,47.79649122807017
Wisconsin Breast Cancer Database,19_08_2022-09_59_29,-23.0,60,0.6,33.98630826333664,49.724912538360314,41.31228070175439,41.487719298245615,38.094736842105256,38.2280701754386,48.68070175438597,48.72982456140351,41.31228070175439,41.487719298245615,47.66315789473684,47.74035087719298
Wisconsin Breast Cancer Database,19_08_2022-09_59_59,-22.0,60,0.6,32.169975583674685,49.69134747259139,40.382456140350875,40.305263157894736,37.08771929824562,36.98947368421053,48.5578947368421,48.39649122807017,40.382456140350875,40.305263157894736,46.915789473684214,46.97894736842105
Wisconsin Breast Cancer Database,19_08_2022-10_00_32,-21.0,60,0.6,30.185505747863324,49.653687130352175,39.501754385964915,39.69122807017544,35.80350877192983,35.9719298245614,48.68421052631579,48.74736842105263,39.501754385964915,39.69122807017544,46.280701754385966,46.43508771929824
Wisconsin Breast Cancer Database,19_08_2022-10_01_55,-20.0,60,0.6,28.032029803163184,49.61143192824798,37.487719298245615,37.515789473684215,33.96140350877192,34.02456140350877,48.07017543859649,48.02105263157894,37.487719298245615,37.515789473684215,46.32631578947368,46.39649122807018
Wisconsin Breast Cancer Database,19_08_2022-10_03_17,-19.0,60,0.6,25.71495999461902,49.56402137230099,36.484210526315785,36.54736842105263,32.47368421052632,32.46666666666667,48.15789473684211,48.06666666666667,36.484210526315785,36.54736842105263,45.92631578947368,45.87719298245614
Wisconsin Breast Cancer Database,19_08_2022-10_03_50,-18.0,60,0.6,23.248241864803315,49.51082664546475,35.28421052631578,35.29122807017544,30.526315789473678,30.63157894736842,48.00350877192982,48.01052631578947,35.28421052631578,35.29122807017544,45.343859649122805,45.47719298245614
Wisconsin Breast Cancer Database,19_08_2022-10_04_22,-17.0,60,0.6,20.656804066624048,49.45114229879985,33.564912280701755,33.733333333333334,28.13684210526316,28.368421052631575,47.79649122807017,47.96491228070175,33.564912280701755,33.733333333333334,45.02807017543859,45.252631578947366
Wisconsin Breast Cancer Database,19_08_2022-10_04_58,-16.0,60,0.6,17.978869497018714,49.38417694032174,31.51228070175438,31.61754385964912,26.045614035087716,26.192982456140346,47.175438596491226,47.238596491228066,31.51228070175438,31.61754385964912,43.85964912280702,44.04210526315789
Wisconsin Breast Cancer Database,19_08_2022-10_07_18,-15.0,60,0.6,15.2675350969045,49.309042803930566,30.16491228070175,30.34035087719298,24.14736842105263,24.4421052631579,47.178947368421056,47.36140350877193,30.16491228070175,30.34035087719298,43.46315789473684,43.65964912280702
Wisconsin Breast Cancer Database,19_08_2022-10_08_48,-14.0,60,0.6,12.590737603920207,49.22474406848466,27.691228070175434,27.74736842105263,21.845614035087724,22.11929824561404,46.34035087719298,46.522807017543855,27.691228070175434,27.74736842105263,43.05263157894736,43.24912280701755
Wisconsin Breast Cancer Database,19_08_2022-10_10_17,-13.0,60,0.6,10.028512724237151,49.13016378394309,25.40350877192983,25.670175438596488,19.14035087719298,19.399999999999995,45.77894736842105,45.89824561403508,25.40350877192983,25.670175438596488,41.88771929824562,42.07719298245613
Wisconsin Breast Cancer Database,19_08_2022-10_11_43,-12.0,60,0.6,7.666545701678364,49.02404924795832,23.44912280701754,23.72982456140351,16.99298245614035,17.28771929824562,46.09122807017544,46.16842105263158,23.44912280701754,23.72982456140351,41.06315789473685,41.10526315789473
Wisconsin Breast Cancer Database,19_08_2022-10_13_06,-11.0,60,0.6,5.585700958549809,48.9049956626704,20.775438596491224,21.028070175438597,14.512280701754388,14.8140350877193,44.76842105263158,44.88771929824561,20.775438596491224,21.028070175438597,39.796491228070174,40.03508771929825
Wisconsin Breast Cancer Database,19_08_2022-10_14_31,-10.0,60,0.6,3.848717438125545,48.77142788844566,18.757894736842108,18.814035087719294,12.7719298245614,13.038596491228072,44.733333333333334,44.677192982456134,18.757894736842108,18.814035087719294,38.74736842105263,38.838596491228074
Wisconsin Breast Cancer Database,19_08_2022-10_16_01,-9.0,60,0.6,2.487330133726333,48.621580099846256,16.470175438596492,16.70877192982456,10.821052631578942,11.031578947368425,43.97543859649122,43.94035087719298,16.470175438596492,16.70877192982456,36.84561403508771,37.02105263157895
Wisconsin Breast Cancer Database,19_08_2022-10_17_27,-8.0,60,0.6,1.4946746897932988,48.453473140807525,14.396491228070174,14.712280701754388,9.31929824561404,9.635087719298241,43.92982456140351,43.84561403508772,14.396491228070174,14.712280701754388,36.03508771929824,36.140350877192986
Wisconsin Breast Cancer Database,19_08_2022-10_18_53,-7.0,60,0.6,0.8272532372270818,48.2648893729373,12.459649122807015,12.803508771929828,7.785964912280696,8.136842105263153,43.01052631578948,43.03157894736842,12.459649122807015,12.803508771929828,33.73684210526315,33.982456140350884
Wisconsin Breast Cancer Database,19_08_2022-10_19_50,-6.0,60,0.6,0.4169902579431592,48.05334481632721,10.308771929824555,10.715789473684211,6.603508771929823,6.9824561403508785,41.96140350877193,42.01754385964912,10.308771929824555,10.715789473684211,31.529824561403508,31.908771929824564
Wisconsin Breast Cancer Database,19_08_2022-10_20_54,-5.0,60,0.6,0.18863077485096055,47.81605840090074,8.91578947368421,9.378947368421054,5.789473684210522,6.1192982456140355,40.88070175438596,40.887719298245614,8.91578947368421,9.378947368421054,27.8140350877193,28.171929824561403
Wisconsin Breast Cancer Database,19_08_2022-10_22_26,-4.000000000000001,60,0.6,0.07505912491593178,47.54991818473721,7.505263157894737,8.192982456140353,5.017543859649121,5.621052631578949,40.28421052631579,40.368421052631575,7.505263157894737,8.192982456140353,25.0561403508772,25.63859649122807
Wisconsin Breast Cancer Database,19_08_2022-10_23_55,-3.0000000000000004,60,0.6,0.025592954739418236,47.25144446351416,5.971929824561406,6.701754385964909,4.312280701754389,4.859649122807019,38.852631578947374,39.056140350877186,5.971929824561406,6.701754385964909,21.926315789473684,22.52982456140351
Wisconsin Breast Cancer Database,19_08_2022-10_26_27,-2.0,60,0.6,0.0072396835994806685,46.916749805488685,5.354385964912279,5.957894736842107,3.88421052631579,4.649122807017547,37.849122807017544,37.96140350877193,5.354385964912279,5.957894736842107,19.03508771929825,19.624561403508768
