Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Wisconsin Breast Cancer Database,18_08_2022-23_44_16,-30.0,60,60,5.79839032481657,48.700780983257715,47.08070175438597,47.228070175438596,44.54736842105264,44.71578947368421,44.54736842105264,44.71578947368421,47.08070175438597,47.228070175438596,35.238596491228066,35.526315789473685
Wisconsin Breast Cancer Database,18_08_2022-23_44_50,-29.0,60,60,4.5167328660289545,48.54234419663763,46.93333333333334,47.20701754385965,44.32631578947368,44.599999999999994,44.32631578947368,44.599999999999994,46.93333333333334,47.20701754385965,33.51578947368421,34.05614035087719
Wisconsin Breast Cancer Database,18_08_2022-23_45_19,-28.0,60,60,3.4241637679064034,48.36461309438355,46.51578947368421,46.592982456140355,43.656140350877195,43.677192982456134,43.656140350877195,43.677192982456134,46.51578947368421,46.592982456140355,31.582456140350878,32.10175438596491
Wisconsin Breast Cancer Database,18_08_2022-23_45_53,-27.0,60,60,2.5009954368851393,48.1652490319693,46.308771929824566,46.266666666666666,42.782456140350874,43.14736842105263,42.782456140350874,43.14736842105263,46.308771929824566,46.266666666666666,30.270175438596493,31.147368421052633
Wisconsin Breast Cancer Database,18_08_2022-23_46_22,-26.0,60,60,1.7383435665370175,47.941634438021175,45.242105263157896,45.85964912280702,41.86666666666666,42.23157894736842,41.86666666666666,42.23157894736842,45.242105263157896,45.85964912280702,28.515789473684205,29.371929824561406
Wisconsin Breast Cancer Database,18_08_2022-23_46_55,-25.0,60,60,1.1346320787376172,47.69084142369338,45.4,45.51929824561404,41.15087719298246,41.44561403508772,41.15087719298246,41.44561403508772,45.4,45.51929824561404,27.021052631578947,27.863157894736844
Wisconsin Breast Cancer Database,18_08_2022-23_47_25,-24.0,60,60,0.6860945511115949,47.4095976451085,44.48070175438596,44.677192982456134,39.33333333333333,39.83157894736842,39.33333333333333,39.83157894736842,44.48070175438596,44.677192982456134,24.8,25.9719298245614
Wisconsin Breast Cancer Database,18_08_2022-23_48_01,-23.0,60,60,0.37896034709548043,47.09424952489806,43.48070175438596,43.79649122807018,38.178947368421056,38.733333333333334,38.178947368421056,38.733333333333334,43.48070175438596,43.79649122807018,24.431578947368426,25.378947368421056
Wisconsin Breast Cancer Database,18_08_2022-23_48_37,-22.0,60,60,0.18822746493140632,46.74072312949449,43.11228070175439,43.22456140350878,37.23157894736842,37.66666666666667,37.23157894736842,37.66666666666667,43.11228070175439,43.22456140350878,22.968421052631584,24.0
Wisconsin Breast Cancer Database,18_08_2022-23_49_07,-21.0,60,60,0.0825062331058472,46.34448328254419,42.733333333333334,42.76842105263158,35.561403508771924,36.207017543859656,35.561403508771924,36.207017543859656,42.733333333333334,42.76842105263158,22.280701754385966,23.382456140350882
