Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),Mismatch probability (Vanilla GD),Error probability (Vanilla GD),Mismatch probability (Optimized GD),Error probability (Optimized GD),Mismatch probability (BFGS),Error probability (BFGS)
Heart Diseases Database,03_11_2021-16_09_20,-25.0,30,1,46.16912984023102,49.52271052512368,47.66666666666667,49.33333333333333,0,0,47.66666666666667,49.33333333333333,0,0
Heart Diseases Database,03_11_2021-16_09_20,-23.0,30,1,44.3736926927236,49.44841440119648,45.49999999999999,48.5,0,0,45.49999999999999,48.5,0,0
Heart Diseases Database,03_11_2021-16_09_21,-21.0,30,1,41.369851125455256,49.26151146035913,44.666666666666664,47.0,0,0,44.666666666666664,47.0,0,0
Heart Diseases Database,03_11_2021-16_09_21,-19.0,30,1,36.812527744537746,49.10500447049337,44.166666666666664,46.5,0,0,44.166666666666664,46.5,0,0
Heart Diseases Database,03_11_2021-16_09_22,-17.0,30,1,31.271691608659058,48.87018988446979,46.0,46.5,0,0,46.0,46.5,0,0
Heart Diseases Database,03_11_2021-16_09_22,-15.0,30,1,25.784654308312334,48.58579908527017,44.333333333333336,45.49999999999999,0,0,44.333333333333336,45.49999999999999,0,0
Heart Diseases Database,03_11_2021-16_09_23,-13.0,30,1,13.829224565596054,48.176311494339195,39.666666666666664,40.5,0,0,39.666666666666664,40.5,0,0
Heart Diseases Database,03_11_2021-16_09_23,-11.0,30,1,7.732597623683279,47.769629809085465,35.16666666666667,38.16666666666667,0,0,35.16666666666667,38.16666666666667,0,0
Heart Diseases Database,03_11_2021-16_09_23,-9.0,30,1,2.7275651596093446,47.10653832038124,38.0,42.166666666666664,0,0,38.0,42.166666666666664,0,0
Heart Diseases Database,03_11_2021-16_09_24,-7.0,30,1,2.8107863548554555,46.5751810072084,36.16666666666667,39.33333333333333,0,0,36.16666666666667,39.33333333333333,0,0
Heart Diseases Database,03_11_2021-16_09_24,-5.0,30,1,0.2868488052034058,45.62778373734807,27.500000000000004,32.333333333333336,0,0,27.500000000000004,32.333333333333336,0,0
Heart Diseases Database,03_11_2021-16_09_25,-3.0000000000000004,30,1,0.1354965185178671,44.706983827701634,27.0,32.666666666666664,0,0,27.0,32.666666666666664,0,0
Heart Diseases Database,03_11_2021-16_09_25,-1.0,30,1,0.0007054237846703023,42.842831830031095,19.833333333333336,30.500000000000004,0,0,19.833333333333336,30.500000000000004,0,0
Heart Diseases Database,03_11_2021-16_09_26,1.0000000000000002,30,1,1.1235716755042537e-06,42.16240341142649,23.33333333333333,30.333333333333336,0,0,23.33333333333333,30.333333333333336,0,0
Heart Diseases Database,03_11_2021-16_09_26,3.0,30,1,0.0,39.31138555592425,15.666666666666663,23.0,0,0,15.666666666666663,23.0,0,0
Heart Diseases Database,03_11_2021-16_09_26,5.0,30,1,0.0,36.17246667569161,11.66666666666667,23.666666666666668,0,0,11.66666666666667,23.666666666666668,0,0
Heart Diseases Database,03_11_2021-16_09_27,7.0,30,1,0.0,35.03439106436615,10.33333333333334,23.666666666666668,0,0,10.33333333333334,23.666666666666668,0,0
Heart Diseases Database,03_11_2021-16_09_27,9.0,30,1,0.0,29.73259761533197,6.499999999999995,19.333333333333336,0,0,6.499999999999995,19.333333333333336,0,0
Heart Diseases Database,03_11_2021-16_09_28,11.0,30,1,0.0,28.98201344424871,6.333333333333336,20.499999999999996,0,0,6.333333333333336,20.499999999999996,0,0
Heart Diseases Database,03_11_2021-16_09_28,13.0,30,1,0.0,23.468162465508513,6.000000000000005,23.0,0,0,6.000000000000005,23.0,0,0
