Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Heart Diseases Database,21_08_2022-14_18_15,-30.0,45,0.45,44.50042167699412,49.87735297537454,48.74666666666667,48.36,46.586666666666666,46.42666666666667,49.4,49.03999999999999,48.74666666666667,48.36,48.440000000000005,48.25333333333334
Heart Diseases Database,21_08_2022-14_18_21,-29.0,45,0.45,43.83502352783504,49.86238783756109,48.986666666666665,49.373333333333335,47.02666666666667,47.10666666666666,50.49333333333333,50.29333333333334,48.986666666666665,49.373333333333335,49.53333333333333,49.44
Heart Diseases Database,21_08_2022-14_18_28,-28.0,45,0.45,43.09074851512246,49.84559670257049,47.973333333333336,47.57333333333334,45.120000000000005,45.04,49.25333333333334,48.760000000000005,47.973333333333336,47.57333333333334,48.06,47.74
Heart Diseases Database,21_08_2022-14_18_34,-27.0,45,0.45,42.25891320473593,49.82675677569512,47.58,47.68666666666667,44.486666666666665,45.06,48.766666666666666,48.95333333333334,47.58,47.68666666666667,48.06,48.43333333333333
Heart Diseases Database,21_08_2022-14_18_41,-26.0,45,0.45,41.33015236640177,49.80561808155387,47.440000000000005,47.53333333333334,44.78,45.35333333333333,49.53333333333333,49.8,47.440000000000005,47.53333333333334,48.71333333333333,49.046666666666674
Heart Diseases Database,21_08_2022-14_18_48,-25.0,45,0.45,40.29448364651058,49.781900149360766,46.873333333333335,46.91333333333333,43.45333333333333,43.879999999999995,49.146666666666675,49.2,46.873333333333335,46.91333333333333,48.43333333333333,48.24666666666667
Heart Diseases Database,21_08_2022-14_18_55,-24.0,45,0.45,39.14143513357402,49.755288294479094,46.34666666666667,46.973333333333336,43.02666666666667,43.68,49.486666666666665,49.473333333333336,46.34666666666667,46.973333333333336,48.1,48.16666666666667
Heart Diseases Database,21_08_2022-14_19_02,-23.0,45,0.45,37.86026175688883,49.725429447318334,46.57333333333333,46.31999999999999,42.86,43.31333333333334,49.913333333333334,49.71333333333333,46.57333333333333,46.31999999999999,48.586666666666666,48.45333333333334
Heart Diseases Database,21_08_2022-14_19_09,-22.0,45,0.45,36.44028400695172,49.69192747476547,45.96,46.666666666666664,40.88666666666667,41.7,48.440000000000005,48.73333333333333,45.96,46.666666666666664,47.22666666666666,47.373333333333335
Heart Diseases Database,21_08_2022-14_19_15,-21.0,45,0.45,34.87139062585152,49.65433793285286,46.07333333333333,46.28666666666666,40.87333333333333,41.74,49.913333333333334,49.88666666666667,46.07333333333333,46.28666666666666,48.3,48.660000000000004
