Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Heart Diseases Database,21_08_2022-14_29_11,-30.0,45,45,8.973735129580259,48.773742887212194,48.86666666666667,48.56,47.16666666666667,46.67333333333333,47.16666666666667,46.67333333333333,48.86666666666667,48.56,41.44,41.58666666666667
Heart Diseases Database,21_08_2022-14_29_18,-29.0,45,45,6.720965349726359,48.6241794198844,48.07333333333334,48.51333333333333,46.64666666666667,46.43333333333334,46.64666666666667,46.43333333333334,48.07333333333334,48.51333333333333,39.99333333333334,40.71333333333334
Heart Diseases Database,21_08_2022-14_29_25,-28.0,45,45,4.768764769967623,48.456392235807776,48.806666666666665,48.88666666666667,46.660000000000004,47.11333333333333,46.660000000000004,47.11333333333333,48.806666666666665,48.88666666666667,40.08666666666667,40.94
Heart Diseases Database,21_08_2022-14_29_31,-27.0,45,45,3.1706799889788653,48.268168335542256,48.45333333333334,48.653333333333336,45.446666666666665,46.00666666666666,45.446666666666665,46.00666666666666,48.45333333333334,48.653333333333336,37.64666666666666,39.28666666666667
Heart Diseases Database,21_08_2022-14_29_38,-26.0,45,45,1.9493606013658027,48.05702907241878,47.32666666666666,47.22,44.06,44.26,44.06,44.26,47.32666666666666,47.22,35.66666666666667,36.74666666666667
Heart Diseases Database,21_08_2022-14_29_45,-25.0,45,45,1.090324315618397,47.82019954085009,47.486666666666665,47.60666666666666,43.57333333333333,44.21333333333334,43.57333333333333,44.21333333333334,47.486666666666665,47.60666666666666,34.29333333333333,35.86666666666667
Heart Diseases Database,21_08_2022-14_29_52,-24.0,45,45,0.543809719793311,47.554574969372624,46.48,46.85333333333334,42.87333333333333,43.833333333333336,42.87333333333333,43.833333333333336,46.48,46.85333333333334,32.52666666666667,34.44666666666667
Heart Diseases Database,21_08_2022-14_29_59,-23.0,45,45,0.23593105808547096,47.256684055442506,46.39333333333333,47.11333333333333,42.24,42.86666666666667,42.24,42.86666666666667,46.39333333333333,47.11333333333333,30.966666666666665,33.07333333333333
Heart Diseases Database,21_08_2022-14_30_07,-22.0,45,45,0.0863129705892613,46.92264929399385,45.48,45.986666666666665,41.05333333333333,41.800000000000004,41.05333333333333,41.800000000000004,45.48,45.986666666666665,28.573333333333327,31.08
Heart Diseases Database,21_08_2022-14_30_14,-21.0,45,45,0.02560305978361305,46.54814452971826,45.63333333333334,45.63333333333334,40.05333333333333,40.57333333333333,40.05333333333333,40.57333333333333,45.63333333333334,45.63333333333334,27.406666666666666,29.60666666666667
Heart Diseases Database,21_08_2022-14_30_21,-20.0,45,45,0.005860010543593151,46.12835023060882,45.053333333333335,45.440000000000005,38.480000000000004,39.68000000000001,38.480000000000004,39.68000000000001,45.053333333333335,45.440000000000005,25.073333333333338,27.446666666666665
Heart Diseases Database,21_08_2022-14_30_28,-19.0,45,45,0.0009723826647624766,45.657907374172176,44.38666666666666,44.89333333333333,38.080000000000005,38.946666666666665,38.080000000000005,38.946666666666665,44.38666666666666,44.89333333333333,23.446666666666673,26.03333333333333
Heart Diseases Database,21_08_2022-14_30_35,-18.0,45,45,0.00010828190133362533,45.13087140799283,43.75333333333333,44.24666666666667,36.18666666666667,37.61333333333333,36.18666666666667,37.61333333333333,43.75333333333333,44.24666666666667,21.413333333333327,24.080000000000002
Heart Diseases Database,21_08_2022-14_30_41,-17.0,45,45,7.362925028657002e-06,44.540668560573565,42.400000000000006,43.36,35.08,36.519999999999996,35.08,36.519999999999996,42.400000000000006,43.36,19.753333333333334,22.886666666666667
Heart Diseases Database,21_08_2022-14_30_48,-16.0,45,45,2.72699562930967e-07,43.880057926124046,41.92,42.413333333333334,33.06,34.81999999999999,33.06,34.81999999999999,41.92,42.413333333333334,18.166666666666664,21.03333333333334
Heart Diseases Database,21_08_2022-14_30_56,-15.0,45,45,4.789165083026358e-09,43.14110434434358,40.959999999999994,41.2,31.56,32.986666666666665,31.56,32.986666666666665,40.959999999999994,41.2,15.60666666666667,18.899999999999995
Heart Diseases Database,21_08_2022-14_31_03,-14.0,45,45,3.359368339062015e-11,42.31516928908221,40.16,40.346666666666664,29.979999999999997,31.553333333333335,29.979999999999997,31.553333333333335,40.16,40.346666666666664,14.713333333333335,17.726666666666667
Heart Diseases Database,21_08_2022-14_31_10,-13.0,45,45,7.521760991835465e-14,41.39292994242931,39.06666666666667,40.05333333333333,28.080000000000005,30.04,28.080000000000005,30.04,39.06666666666667,40.05333333333333,13.439999999999996,16.946666666666665
Heart Diseases Database,21_08_2022-14_31_17,-12.0,45,45,0.0,40.36444055598351,37.126666666666665,38.339999999999996,26.380000000000003,27.980000000000004,26.380000000000003,27.980000000000004,37.126666666666665,38.339999999999996,12.113333333333332,15.859999999999996
Heart Diseases Database,21_08_2022-14_31_24,-11.0,45,45,0.0,39.219255270371434,36.473333333333336,37.806666666666665,24.293333333333333,26.973333333333336,24.293333333333333,26.973333333333336,36.473333333333336,37.806666666666665,10.68,14.866666666666662
Heart Diseases Database,21_08_2022-14_31_30,-10.0,45,45,0.0,37.9466378850562,35.160000000000004,36.50666666666667,21.24666666666667,23.646666666666672,21.24666666666667,23.646666666666672,35.160000000000004,36.50666666666667,9.693333333333332,13.693333333333335
Heart Diseases Database,21_08_2022-14_31_37,-9.0,45,45,0.0,36.53589155481619,32.92,34.25333333333334,19.899999999999995,22.073333333333334,19.899999999999995,22.073333333333334,32.92,34.25333333333334,8.926666666666671,13.193333333333335
Heart Diseases Database,21_08_2022-14_31_43,-8.0,45,45,0.0,34.9768495386299,31.620000000000005,32.873333333333335,17.886666666666663,20.87333333333333,17.886666666666663,20.87333333333333,31.620000000000005,32.873333333333335,8.606666666666662,12.939999999999996
Heart Diseases Database,21_08_2022-14_31_50,-7.0,45,45,0.0,33.26057568247053,29.113333333333337,30.979999999999997,16.18666666666667,19.346666666666668,16.18666666666667,19.346666666666668,29.113333333333337,30.979999999999997,7.913333333333339,12.16666666666667
Heart Diseases Database,21_08_2022-14_31_57,-6.0,45,45,0.0,31.380327736353873,27.846666666666664,30.086666666666662,15.073333333333338,17.966666666666665,15.073333333333338,17.966666666666665,27.846666666666664,30.086666666666662,7.279999999999998,11.66666666666667
