Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Heart Diseases Database,21_08_2022-14_56_08,-30.0,45,6.708203932499369,34.23540205716061,49.56639476823588,48.8271186440678,49.53220338983051,47.505084745762716,48.29152542372881,48.806779661016954,49.118644067796616,48.8271186440678,49.53220338983051,47.1457627118644,48.0271186440678
Heart Diseases Database,21_08_2022-14_56_15,-29.0,45,6.708203932499369,32.99478557801181,49.513504308056696,48.8,49.47796610169492,47.518644067796615,48.427118644067804,49.24745762711864,49.47796610169492,48.8,49.47796610169492,47.45762711864406,48.47457627118644
Heart Diseases Database,21_08_2022-14_56_21,-28.0,45,6.708203932499369,31.728909375593016,49.45416740246847,48.59661016949153,49.342372881355935,47.19322033898305,48.277966101694915,48.820338983050846,49.52542372881356,48.59661016949153,49.342372881355935,47.20677966101695,48.19661016949153
Heart Diseases Database,21_08_2022-14_56_28,-27.0,45,6.708203932499369,30.4336621587565,49.387600420318726,48.481355932203385,49.2271186440678,46.57627118644068,47.86440677966102,48.501694915254234,49.04406779661017,48.481355932203385,49.2271186440678,46.33898305084746,47.694915254237294
Heart Diseases Database,21_08_2022-14_56_35,-26.0,45,6.708203932499369,29.098222061715113,49.31292532981635,48.23728813559322,49.05084745762712,46.18983050847457,47.53220338983051,48.250847457627124,49.010169491525424,48.23728813559322,49.05084745762712,46.440677966101696,48.20338983050847
Heart Diseases Database,21_08_2022-14_56_42,-25.0,45,6.708203932499369,27.706054023777465,49.229158680430196,48.101694915254235,48.72542372881355,46.122033898305084,47.31525423728814,48.467796610169486,48.96949152542373,48.101694915254235,48.72542372881355,45.99322033898305,47.172881355932205
Heart Diseases Database,21_08_2022-14_56_48,-24.0,45,6.708203932499369,26.237387378015548,49.13519944573571,48.02033898305085,48.72542372881355,45.13898305084746,46.833898305084745,47.86440677966102,48.70508474576272,48.02033898305085,48.72542372881355,45.505084745762716,47.389830508474574
Heart Diseases Database,21_08_2022-14_56_55,-23.0,45,6.708203932499369,24.672770098013032,49.02981567203824,47.044067796610165,47.952542372881354,45.13220338983051,46.62372881355932,48.29830508474576,48.69152542372881,47.044067796610165,47.952542372881354,45.01016949152542,46.637288135593224
Heart Diseases Database,21_08_2022-14_57_03,-22.0,45,6.708203932499369,22.997057523937254,48.91162990481311,47.09830508474576,47.78983050847457,44.92203389830508,46.237288135593225,47.877966101694916,48.08135593220339,47.09830508474576,47.78983050847457,44.664406779661014,45.708474576271186
Heart Diseases Database,21_08_2022-14_57_10,-21.0,45,6.708203932499369,21.202914411415627,48.779103408909634,46.440677966101696,48.09491525423729,44.223728813559326,46.09491525423729,47.83050847457627,48.50847457627119,46.440677966101696,48.09491525423729,44.15593220338984,46.52881355932203
Heart Diseases Database,21_08_2022-14_57_17,-20.0,45,6.708203932499369,19.29298659706142,48.630519266416165,46.12881355932203,48.16271186440678,42.94915254237288,45.41694915254237,46.813559322033896,48.101694915254235,46.12881355932203,48.16271186440678,43.003389830508475,45.79661016949152
