Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Parkinson Database,21_08_2022-13_34_07,-30.0,30,30,26.238289376178713,49.049791052372875,48.57435897435898,48.30769230769231,48.77948717948718,49.21025641025641,48.77948717948718,49.21025641025641,48.57435897435898,48.30769230769231,46.59487179487179,49.38461538461538
Parkinson Database,21_08_2022-13_34_12,-29.0,30,30,24.231173896770567,48.933921401369375,49.23076923076923,49.49743589743589,49.17948717948718,49.38461538461538,49.17948717948718,49.38461538461538,49.23076923076923,49.49743589743589,46.90256410256411,49.46666666666667
Parkinson Database,21_08_2022-13_34_17,-28.0,30,30,22.163319827952726,48.80394375602329,47.91794871794872,47.794871794871796,46.93333333333334,48.0,46.93333333333334,48.0,47.91794871794872,47.794871794871796,45.55897435897436,48.43076923076923
Parkinson Database,21_08_2022-13_34_22,-27.0,30,30,20.041856809457727,48.6581491338267,48.68717948717949,48.707692307692305,47.94871794871794,49.63076923076923,47.94871794871794,49.63076923076923,48.68717948717949,48.707692307692305,45.282051282051285,50.14358974358974
Parkinson Database,21_08_2022-13_34_27,-26.0,30,30,17.87399511025212,48.49462514473715,47.723076923076924,47.599999999999994,46.94358974358974,48.4,46.94358974358974,48.4,47.723076923076924,47.599999999999994,44.738461538461536,49.251282051282054
Parkinson Database,21_08_2022-13_34_31,-25.0,30,30,15.670493247041147,48.31123327025011,47.85641025641026,47.343589743589746,46.89230769230769,48.24615384615385,46.89230769230769,48.24615384615385,47.85641025641026,47.343589743589746,44.23589743589743,49.11794871794872
Parkinson Database,21_08_2022-13_34_36,-24.0,30,30,13.450263862071408,48.10558422526973,47.56923076923078,47.73333333333334,46.44102564102565,47.63076923076923,46.44102564102565,47.63076923076923,47.56923076923078,47.73333333333334,43.32307692307692,47.91794871794872
Parkinson Database,21_08_2022-13_34_41,-23.0,30,30,11.244810600742285,47.87501151351099,46.27692307692308,46.93333333333334,45.5076923076923,47.148717948717945,45.5076923076923,47.148717948717945,46.27692307692308,46.93333333333334,41.712820512820514,47.107692307692304
Parkinson Database,21_08_2022-13_34_45,-22.0,30,30,9.10080242228766,47.61654343653958,46.9948717948718,47.54871794871794,45.53846153846154,47.52820512820512,45.53846153846154,47.52820512820512,46.9948717948718,47.54871794871794,41.6,46.317948717948724
Parkinson Database,21_08_2022-13_34_50,-21.0,30,30,7.0788856731331755,47.32687403547542,46.82051282051282,46.6974358974359,44.861538461538466,47.179487179487175,44.861538461538466,47.179487179487175,46.82051282051282,46.6974358974359,40.225641025641025,45.353846153846156
