Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Parkinson Database,21_08_2022-13_18_24,-30.0,30,5.477225575051661,35.7851590312066,49.508062014794525,48.45128205128205,49.8051282051282,46.92307692307692,49.323076923076925,48.6051282051282,50.10256410256411,48.45128205128205,49.8051282051282,44.85128205128205,48.97435897435898
Parkinson Database,21_08_2022-13_18_30,-29.0,30,5.477225575051661,34.20029618977579,49.44804261400712,47.723076923076924,49.07692307692307,46.20512820512821,48.46153846153847,48.24615384615385,49.45641025641025,47.723076923076924,49.07692307692307,44.215384615384615,47.599999999999994
Parkinson Database,21_08_2022-13_18_34,-28.0,30,5.477225575051661,32.47857751356105,49.38070225979772,48.22564102564103,48.43076923076923,46.61538461538461,48.235897435897435,49.03589743589743,49.15897435897436,48.22564102564103,48.43076923076923,43.42564102564103,47.65128205128205
Parkinson Database,21_08_2022-13_18_40,-27.0,30,5.477225575051661,30.622922739888775,49.30514870059845,47.9897435897436,49.07692307692307,45.43589743589743,48.882051282051286,47.599999999999994,49.61025641025641,47.9897435897436,49.07692307692307,42.62564102564102,47.97948717948718
Parkinson Database,21_08_2022-13_18_45,-26.0,30,5.477225575051661,28.642205128067623,49.22038124251029,47.87692307692307,48.287179487179486,45.620512820512815,48.656410256410254,48.235897435897435,49.67179487179487,47.87692307692307,48.287179487179486,42.41025641025641,47.84615384615385
Parkinson Database,21_08_2022-13_18_50,-25.0,30,5.477225575051661,26.552757260163222,49.12527769413091,46.687179487179485,48.2051282051282,43.58974358974359,48.30769230769231,46.810256410256414,49.68205128205129,46.687179487179485,48.2051282051282,40.6051282051282,47.84615384615385
Parkinson Database,21_08_2022-13_18_55,-24.0,30,5.477225575051661,24.379605226996254,49.01857979124921,47.16923076923077,48.68717948717949,44.4923076923077,47.91794871794872,48.1025641025641,49.08717948717949,47.16923076923077,48.68717948717949,40.95384615384615,47.08717948717948
Parkinson Database,21_08_2022-13_19_00,-23.0,30,5.477225575051661,22.156974488029185,48.89887694590556,46.235897435897435,48.14358974358974,43.39487179487179,47.723076923076924,47.251282051282054,48.830769230769235,46.235897435897435,48.14358974358974,39.03589743589744,47.07692307692307
Parkinson Database,21_08_2022-13_19_06,-22.0,30,5.477225575051661,19.927462503680058,48.76458815765005,46.85128205128205,48.55384615384616,43.01538461538461,47.42564102564103,47.24102564102564,48.86153846153846,46.85128205128205,48.55384615384616,38.779487179487184,46.758974358974356
Parkinson Database,21_08_2022-13_19_11,-21.0,30,5.477225575051661,17.739243254932532,48.613941922398844,46.092307692307685,47.56923076923078,41.364102564102566,46.758974358974356,45.97948717948718,48.215384615384615,46.092307692307685,47.56923076923078,37.26153846153846,45.774358974358975
Parkinson Database,21_08_2022-13_19_15,-20.0,30,5.477225575051661,15.640910936880148,48.44495397862291,45.97948717948718,48.42051282051282,40.892307692307696,46.73846153846154,46.20512820512821,48.6051282051282,45.97948717948718,48.42051282051282,37.07692307692307,46.45128205128205
Parkinson Database,21_08_2022-13_19_21,-19.0,30,5.477225575051661,13.67424258871392,48.25540274544154,44.93333333333334,47.41538461538462,39.69230769230769,46.33846153846154,44.99487179487179,48.44102564102564,44.93333333333334,47.41538461538462,35.07692307692307,45.353846153846156
Parkinson Database,21_08_2022-13_19_25,-18.0,30,5.477225575051661,11.866293475672334,48.0428023377439,43.928205128205136,46.12307692307692,37.723076923076924,45.98974358974359,44.44102564102565,48.05128205128205,43.928205128205136,46.12307692307692,34.41025641025641,45.48717948717949
Parkinson Database,21_08_2022-13_19_31,-17.0,30,5.477225575051661,10.223536325204291,47.80437309728891,43.07692307692308,46.93333333333334,36.75897435897436,45.14871794871795,43.61025641025641,47.42564102564103,43.07692307692308,46.93333333333334,33.42564102564103,44.646153846153844
Parkinson Database,21_08_2022-13_19_36,-16.0,30,5.477225575051661,8.731426806412552,47.5370096663326,42.74871794871795,45.353846153846156,35.65128205128205,44.205128205128204,42.55384615384615,46.49230769230769,42.74871794871795,45.353846153846156,32.98461538461539,44.45128205128205
Parkinson Database,21_08_2022-13_19_41,-15.0,30,5.477225575051661,7.361686564030742,47.23724676648979,42.266666666666666,45.794871794871796,35.17948717948718,45.353846153846156,43.333333333333336,48.29743589743589,42.266666666666666,45.794871794871796,32.95384615384616,45.32307692307692
Parkinson Database,21_08_2022-13_19_46,-14.0,30,5.477225575051661,6.086072813199763,46.90122305084399,41.28205128205128,44.89230769230769,33.261538461538464,44.35897435897436,42.0923076923077,47.48717948717949,41.28205128205128,44.89230769230769,31.846153846153847,44.74871794871795
Parkinson Database,21_08_2022-13_19_51,-13.0,30,5.477225575051661,4.89073575719581,46.524643699915195,39.271794871794874,44.194871794871794,31.241025641025644,43.63076923076923,40.05128205128206,46.34871794871794,39.271794871794874,44.194871794871794,30.830769230769228,44.266666666666666
Parkinson Database,21_08_2022-13_19_56,-12.0,30,5.477225575051661,3.783302784836985,46.1027428706611,38.256410256410255,44.02051282051283,30.133333333333333,42.25641025641026,39.44615384615384,45.92820512820512,38.256410256410255,44.02051282051283,29.743589743589748,43.61025641025641
Parkinson Database,21_08_2022-13_20_02,-11.0,30,5.477225575051661,2.78883837867045,45.630247733867826,37.87692307692308,43.62051282051282,28.964102564102568,42.62564102564102,38.92307692307693,46.14358974358974,37.87692307692308,43.62051282051282,29.558974358974353,44.51282051282052
Parkinson Database,21_08_2022-13_20_07,-10.0,30,5.477225575051661,1.9380936848085561,45.10134671760723,35.89743589743589,41.825641025641026,27.10769230769231,41.42564102564103,37.82564102564102,45.08717948717948,35.89743589743589,41.825641025641026,28.789743589743587,44.60512820512821
Parkinson Database,21_08_2022-13_20_13,-9.0,30,5.477225575051661,1.2548587233310207,44.509665801024006,35.0051282051282,41.87692307692308,26.02051282051282,40.23589743589744,36.44102564102564,44.789743589743594,35.0051282051282,41.87692307692308,27.251282051282054,43.579487179487174
Parkinson Database,21_08_2022-13_20_18,-8.0,30,5.477225575051661,0.7469702962702883,43.8482583833775,32.77948717948718,41.37435897435897,24.35897435897436,39.825641025641026,35.42564102564103,44.38974358974359,32.77948717948718,41.37435897435897,26.625641025641023,44.08205128205128
Parkinson Database,21_08_2022-13_20_23,-7.0,30,5.477225575051661,0.4027065041164989,43.109616517499234,31.28205128205128,40.14358974358975,22.153846153846157,39.15897435897436,34.6974358974359,44.27692307692308,31.28205128205128,40.14358974358975,24.676923076923075,43.774358974358975
Parkinson Database,21_08_2022-13_20_28,-6.0,30,5.477225575051661,0.19332385282879197,42.28571428366863,29.39487179487179,38.871794871794876,20.953846153846158,37.03589743589744,33.45641025641025,43.38461538461539,29.39487179487179,38.871794871794876,23.702564102564104,43.53846153846154
Parkinson Database,21_08_2022-13_20_33,-5.0,30,5.477225575051661,0.08101082073897399,41.36809791235508,26.88205128205128,37.712820512820514,18.87179487179487,37.37435897435898,31.425641025641028,42.60512820512821,26.88205128205128,37.712820512820514,22.09230769230769,42.46153846153846
