Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Wisconsin Breast Cancer Database,21_08_2022-16_25_27,-30.0,60,60,6.194181181242663,48.806304755170444,46.22105263157895,46.26315789473684,44.49473684210526,44.55789473684211,44.49473684210526,44.55789473684211,46.22105263157895,46.26315789473684,38.3719298245614,38.449122807017545
Wisconsin Breast Cancer Database,21_08_2022-16_25_37,-29.0,60,60,4.488992104040608,48.66073118578251,46.08421052631579,46.07719298245614,43.86666666666667,43.95087719298245,43.86666666666667,43.95087719298245,46.08421052631579,46.07719298245614,37.5719298245614,37.71228070175439
Wisconsin Breast Cancer Database,21_08_2022-16_25_46,-28.0,60,60,3.0676120178751973,48.49742763928768,45.44210526315789,45.44210526315789,43.2,43.27017543859649,43.2,43.27017543859649,45.44210526315789,45.44210526315789,36.30526315789474,36.49473684210527
Wisconsin Breast Cancer Database,21_08_2022-16_25_57,-27.0,60,60,1.9546338927742817,48.31424419876809,44.74035087719298,44.81052631578948,41.93684210526316,42.04912280701755,41.93684210526316,42.04912280701755,44.74035087719298,44.81052631578948,35.26315789473684,35.36842105263158
Wisconsin Breast Cancer Database,21_08_2022-16_26_07,-26.0,60,60,1.1474648268012377,48.108774160989846,44.34035087719298,44.37543859649122,41.112280701754386,41.252631578947366,41.112280701754386,41.252631578947366,44.34035087719298,44.37543859649122,34.224561403508766,34.37894736842105
Wisconsin Breast Cancer Database,21_08_2022-16_26_17,-25.0,60,60,0.6129367829397213,47.87832498072256,43.08421052631579,43.11929824561403,39.9719298245614,40.0,39.9719298245614,40.0,43.08421052631579,43.11929824561403,32.59298245614035,32.72631578947368
Wisconsin Breast Cancer Database,21_08_2022-16_26_27,-24.0,60,60,0.2942019660388872,47.619886601454574,42.88421052631579,42.94035087719298,39.29122807017544,39.368421052631575,39.29122807017544,39.368421052631575,42.88421052631579,42.94035087719298,31.75087719298245,31.905263157894737
Wisconsin Breast Cancer Database,21_08_2022-16_26_37,-23.0,60,60,0.12535044246301752,47.33009723209134,42.1438596491228,42.2140350877193,37.97543859649123,38.1578947368421,37.97543859649123,38.1578947368421,42.1438596491228,42.2140350877193,30.24561403508772,30.505263157894735
Wisconsin Breast Cancer Database,21_08_2022-16_26_47,-22.0,60,60,0.04685284453620339,47.00520678804735,40.835087719298244,40.93333333333333,36.5859649122807,36.76140350877193,36.5859649122807,36.76140350877193,40.835087719298244,40.93333333333333,28.15087719298246,28.45964912280702
Wisconsin Breast Cancer Database,21_08_2022-16_26_57,-21.0,60,60,0.015166883215802363,46.64103845242485,39.96140350877193,40.1859649122807,35.421052631578945,35.69473684210527,35.421052631578945,35.69473684210527,39.96140350877193,40.1859649122807,26.473684210526315,26.901754385964914
Wisconsin Breast Cancer Database,21_08_2022-16_27_07,-20.0,60,60,0.004172848465132445,46.232949159857725,39.017543859649116,39.108771929824556,33.77894736842105,33.98947368421052,33.77894736842105,33.98947368421052,39.017543859649116,39.108771929824556,24.807017543859644,25.164912280701756
Wisconsin Breast Cancer Database,21_08_2022-16_27_17,-19.0,60,60,0.0009437340672942674,45.77579030414146,37.65964912280702,37.863157894736844,32.08421052631579,32.322807017543866,32.08421052631579,32.322807017543866,37.65964912280702,37.863157894736844,22.75438596491228,23.203508771929826
Wisconsin Breast Cancer Database,21_08_2022-16_27_27,-18.0,60,60,0.0001659075445564378,45.263870676239605,36.32631578947368,36.522807017543855,29.649122807017548,29.957894736842107,29.649122807017548,29.957894736842107,36.32631578947368,36.522807017543855,20.14385964912281,20.733333333333338
Wisconsin Breast Cancer Database,21_08_2022-16_27_37,-17.0,60,60,2.0908040318707127e-05,44.69092462289276,34.07017543859649,34.33684210526315,28.36491228070176,28.69473684210526,28.36491228070176,28.69473684210526,34.07017543859649,34.33684210526315,18.298245614035093,18.85964912280702
Wisconsin Breast Cancer Database,21_08_2022-16_27_47,-16.0,60,60,1.7005698635824477e-06,44.050089766187725,32.45964912280702,32.705263157894734,25.722807017543857,26.12280701754386,25.722807017543857,26.12280701754386,32.45964912280702,32.705263157894734,16.582456140350878,17.20701754385965
Wisconsin Breast Cancer Database,21_08_2022-16_27_58,-15.0,60,60,7.840075825391436e-08,43.33390044459415,30.96491228070175,31.217543859649123,23.698245614035084,24.070175438596486,23.698245614035084,24.070175438596486,30.96491228070175,31.217543859649123,14.417543859649118,15.021052631578947
Wisconsin Breast Cancer Database,21_08_2022-16_28_08,-14.0,60,60,1.7470250879475963e-09,42.53430543668193,28.877192982456144,29.185964912280703,21.161403508771926,21.645614035087725,21.161403508771926,21.645614035087725,28.877192982456144,29.185964912280703,12.210526315789473,12.93333333333333
Wisconsin Breast Cancer Database,21_08_2022-16_28_18,-13.0,60,60,1.546326419736688e-11,41.64272160565867,26.85614035087719,27.171929824561403,19.32982456140351,19.91228070175438,19.32982456140351,19.91228070175438,26.85614035087719,27.171929824561403,10.807017543859654,11.6
Wisconsin Breast Cancer Database,21_08_2022-16_28_28,-12.0,60,60,4.26559372619141e-14,40.6501388931601,24.901754385964914,25.28070175438597,17.122807017543863,17.67017543859649,17.122807017543863,17.67017543859649,24.901754385964914,25.28070175438597,9.575438596491226,10.382456140350882
