Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Wisconsin Breast Cancer Database,21_08_2022-15_53_55,-30.0,60,7.745966692414834,28.015876924482857,49.600132147482434,47.72982456140351,47.61052631578947,45.8421052631579,45.75789473684211,48.64912280701754,48.564912280701755,47.72982456140351,47.61052631578947,45.35087719298245,45.33684210526315
Wisconsin Breast Cancer Database,21_08_2022-15_54_04,-29.0,60,7.745966692414834,25.84284239694039,49.55134389839913,47.0280701754386,46.85263157894737,45.08070175438596,44.98245614035088,48.459649122807015,48.242105263157896,47.0280701754386,46.85263157894737,45.19649122807018,45.04912280701754
Wisconsin Breast Cancer Database,21_08_2022-15_54_14,-28.0,60,7.745966692414834,23.573007545417827,49.49660382349494,46.63859649122807,46.74385964912281,43.96140350877194,44.16491228070175,47.62456140350877,47.75087719298246,46.63859649122807,46.74385964912281,43.733333333333334,43.75438596491228
Wisconsin Breast Cancer Database,21_08_2022-15_54_24,-27.0,60,7.745966692414834,21.237951573675122,49.43518620204939,46.164912280701756,46.185964912280696,43.88771929824561,44.06315789473684,47.77543859649123,47.76842105263158,46.164912280701756,46.185964912280696,43.54035087719298,43.603508771929825
Wisconsin Breast Cancer Database,21_08_2022-15_54_34,-26.0,60,7.745966692414834,18.8771406540645,49.36627697313733,46.526315789473685,46.40701754385965,44.06315789473684,43.96491228070175,48.33684210526316,48.30175438596491,46.526315789473685,46.40701754385965,43.67368421052632,43.49824561403509
Wisconsin Breast Cancer Database,21_08_2022-15_54_44,-25.0,60,7.745966692414834,16.535387365080894,49.288963043554205,45.38947368421052,45.550877192982455,42.375438596491236,42.71228070175439,47.30175438596491,47.47719298245614,45.38947368421052,45.550877192982455,41.754385964912274,41.84561403508772
Wisconsin Breast Cancer Database,21_08_2022-15_54_54,-24.0,60,7.745966692414834,14.258489748963154,49.20222032698982,44.603508771929825,44.96140350877192,41.329824561403505,41.44210526315789,46.74385964912281,46.73684210526316,44.603508771929825,44.96140350877192,40.90877192982456,40.992982456140346
Wisconsin Breast Cancer Database,21_08_2022-15_55_04,-23.0,60,7.745966692414834,12.087758140701487,49.104900374436426,44.47719298245614,44.56140350877193,40.978947368421046,41.07017543859649,46.74035087719298,46.71929824561404,44.47719298245614,44.56140350877193,40.754385964912274,40.86666666666666
Wisconsin Breast Cancer Database,21_08_2022-15_55_14,-22.0,60,7.745966692414834,10.055197819207608,48.995715444783634,43.44561403508772,43.77543859649122,39.782456140350874,40.00701754385965,46.26315789473684,46.41052631578947,43.44561403508772,43.77543859649122,39.5859649122807,39.62105263157895
Wisconsin Breast Cancer Database,21_08_2022-15_55_24,-21.0,60,7.745966692414834,8.18176330908748,48.87322185473122,42.88421052631579,42.96140350877194,38.49473684210526,38.60701754385965,45.58245614035088,45.631578947368425,42.88421052631579,42.96140350877194,37.89824561403508,37.93333333333333
Wisconsin Breast Cancer Database,21_08_2022-15_55_33,-20.0,60,7.745966692414834,6.480280410816129,48.735801439575624,41.45964912280702,41.69824561403509,36.76140350877193,36.943859649122814,44.93333333333334,44.97543859649122,41.45964912280702,41.69824561403509,36.75438596491228,36.915789473684214
Wisconsin Breast Cancer Database,21_08_2022-15_55_43,-19.0,60,7.745966692414834,4.961828156763217,48.58164095294903,41.06315789473685,41.28070175438596,35.550877192982455,35.84561403508771,44.62105263157895,44.698245614035095,41.06315789473685,41.28070175438596,35.91228070175438,36.199999999999996
Wisconsin Breast Cancer Database,21_08_2022-15_55_52,-18.0,60,7.745966692414834,3.6410414031139315,48.40870923656232,39.887719298245614,39.978947368421046,33.85964912280702,34.09122807017544,43.722807017543865,43.729824561403504,39.887719298245614,39.978947368421046,34.7719298245614,34.8280701754386
Wisconsin Breast Cancer Database,21_08_2022-15_56_02,-17.0,60,7.745966692414834,2.535321730612676,48.21473200418152,38.877192982456144,39.29122807017544,32.10526315789474,32.46315789473684,42.86666666666667,42.97192982456141,38.877192982456144,39.29122807017544,33.69122807017544,33.83157894736842
Wisconsin Breast Cancer Database,21_08_2022-15_56_13,-16.0,60,7.745966692414834,1.6572333543838822,47.99716411246748,37.73684210526316,38.059649122807016,30.673684210526318,30.905263157894737,41.95438596491228,42.00350877192982,37.73684210526316,38.059649122807016,32.242105263157896,32.37543859649122
Wisconsin Breast Cancer Database,21_08_2022-15_56_23,-15.0,60,7.745966692414834,1.0051033410670973,47.75315924238592,36.23508771929824,36.550877192982455,28.943859649122807,29.484210526315792,41.347368421052636,41.57894736842105,36.23508771929824,36.550877192982455,31.431578947368422,31.56491228070175
Wisconsin Breast Cancer Database,21_08_2022-15_56_33,-14.0,60,7.745966692414834,0.5582757073008258,47.47953699890501,35.04912280701754,35.231578947368426,27.849122807017544,28.143859649122803,41.02105263157895,41.0,35.04912280701754,35.231578947368426,31.05964912280702,31.010526315789477
Wisconsin Breast Cancer Database,21_08_2022-15_56_43,-13.0,60,7.745966692414834,0.27971650443967516,47.172747568143315,32.58245614035088,33.03859649122807,25.182456140350872,25.631578947368418,39.56491228070176,39.64210526315789,32.58245614035088,33.03859649122807,28.929824561403507,29.238596491228076
Wisconsin Breast Cancer Database,21_08_2022-15_56_53,-12.0,60,7.745966692414834,0.12414874411910179,46.82883427015128,31.747368421052634,32.308771929824566,23.915789473684214,24.59649122807017,38.877192982456144,39.1719298245614,31.747368421052634,32.308771929824566,28.347368421052632,28.97894736842105
Wisconsin Breast Cancer Database,21_08_2022-15_57_03,-11.0,60,7.745966692414834,0.04773628296903698,46.44339463974908,29.214035087719303,29.887719298245617,21.26315789473684,21.90175438596491,37.03157894736842,37.242105263157896,29.214035087719303,29.887719298245617,26.087719298245617,26.824561403508774
Wisconsin Breast Cancer Database,21_08_2022-15_57_13,-10.0,60,7.745966692414834,0.015462981862275611,46.01154109511193,26.771929824561404,27.473684210526315,19.364912280701752,20.270175438596493,35.550877192982455,35.929824561403514,26.771929824561404,27.473684210526315,24.63859649122807,25.6
Wisconsin Breast Cancer Database,21_08_2022-15_57_23,-9.0,60,7.745966692414834,0.004071603240521705,45.52786286479612,24.863157894736844,25.88070175438596,17.19298245614035,18.44912280701755,33.92982456140351,34.39298245614035,24.863157894736844,25.88070175438596,22.614035087719298,23.849122807017544
Wisconsin Breast Cancer Database,21_08_2022-15_57_34,-8.0,60,7.745966692414834,0.0008321119074149833,44.98639170560533,23.084210526315786,24.136842105263156,15.985964912280703,17.17894736842105,32.88421052631579,33.36842105263158,23.084210526315786,24.136842105263156,21.207017543859653,22.58245614035088
Wisconsin Breast Cancer Database,21_08_2022-15_57_44,-7.0,60,7.745966692414834,0.00012425661423403502,44.38057514244919,20.30175438596491,21.459649122807022,13.691228070175443,15.31228070175439,31.056140350877193,31.877192982456137,20.30175438596491,21.459649122807022,19.22105263157895,21.08771929824561
Wisconsin Breast Cancer Database,21_08_2022-15_57_54,-6.0,60,7.745966692414834,1.2534399806876466e-05,43.703262604343564,18.512280701754392,19.60701754385965,12.382456140350872,13.72280701754386,29.501754385964908,29.81754385964912,18.512280701754392,19.60701754385965,17.200000000000003,19.031578947368423
Wisconsin Breast Cancer Database,21_08_2022-15_58_04,-5.0,60,7.745966692414834,7.727671305489046e-07,42.94671204416715,16.301754385964916,17.375438596491232,10.866666666666669,12.2421052631579,28.529824561403505,28.84561403508772,16.301754385964916,17.375438596491232,15.400000000000002,17.58947368421052
Wisconsin Breast Cancer Database,21_08_2022-15_58_14,-4.000000000000001,60,7.745966692414834,2.5673720264750278e-08,42.102627548602726,14.273684210526316,15.810526315789474,9.754385964912283,11.403508771929827,26.438596491228072,27.273684210526316,14.273684210526316,15.810526315789474,14.322807017543859,16.484210526315792
Wisconsin Breast Cancer Database,21_08_2022-15_58_24,-3.0000000000000004,60,7.745966692414834,3.921445526974279e-10,41.16224218648344,12.477192982456142,13.943859649122803,8.50175438596491,10.164912280701754,24.196491228070172,25.010526315789473,12.477192982456142,13.943859649122803,12.807017543859644,15.256140350877189
Wisconsin Breast Cancer Database,21_08_2022-15_58_34,-2.0,60,7.745966692414834,2.2463999471505326e-12,40.11646495405755,11.035087719298243,12.740350877192984,7.207017543859651,9.059649122807024,22.90526315789474,23.775438596491227,11.035087719298243,12.740350877192984,11.333333333333329,14.182456140350874
Wisconsin Breast Cancer Database,21_08_2022-15_58_44,-1.0,60,7.745966692414834,3.700743415417184e-15,38.95611602428633,9.603508771929825,11.308771929824557,6.589473684210523,8.575438596491225,21.070175438596493,21.86315789473684,9.603508771929825,11.308771929824557,10.817543859649126,13.57543859649123
Wisconsin Breast Cancer Database,21_08_2022-15_58_54,0.0,60,7.745966692414834,0.0,37.67228010706892,8.04912280701754,10.154385964912283,5.954385964912278,8.066666666666666,19.417543859649122,20.35789473684211,8.04912280701754,10.154385964912283,9.522807017543855,12.084210526315786
Wisconsin Breast Cancer Database,21_08_2022-15_59_05,1.0000000000000002,60,7.745966692414834,0.0,36.256812439850606,6.9298245614035086,9.084210526315795,5.263157894736848,7.291228070175437,17.501754385964908,18.575438596491225,6.9298245614035086,9.084210526315795,8.526315789473681,10.982456140350882
Wisconsin Breast Cancer Database,21_08_2022-15_59_14,2.0000000000000004,60,7.745966692414834,0.0,34.7030335273591,5.733333333333334,8.19649122807018,4.449122807017547,6.891228070175437,15.712280701754388,16.85614035087719,5.733333333333334,8.19649122807018,7.677192982456138,10.203508771929826
Wisconsin Breast Cancer Database,21_08_2022-15_59_25,3.0,60,7.745966692414834,0.0,33.00664335305144,4.936842105263162,7.757894736842108,4.245614035087719,6.357894736842107,14.287719298245616,15.571929824561403,4.936842105263162,7.757894736842108,7.010526315789479,9.298245614035084
Wisconsin Breast Cancer Database,21_08_2022-15_59_34,4.0,60,7.745966692414834,0.0,31.166867288053762,4.1719298245614045,7.077192982456138,3.740350877192977,6.182456140350878,13.473684210526315,14.849122807017546,4.1719298245614045,7.077192982456138,6.870175438596493,8.799999999999997
Wisconsin Breast Cancer Database,21_08_2022-15_59_44,5.0,60,7.745966692414834,0.0,29.18780584048607,3.4350877192982465,6.452631578947365,3.421052631578947,6.038596491228065,11.91929824561404,13.470175438596488,3.4350877192982465,6.452631578947365,6.414035087719294,8.343859649122809
Wisconsin Breast Cancer Database,21_08_2022-15_59_54,6.0,60,7.745966692414834,0.0,27.079889033665527,3.13684210526316,6.357894736842107,2.9087719298245607,5.778947368421051,10.582456140350882,11.978947368421055,3.13684210526316,6.357894736842107,5.933333333333335,7.785964912280696
Wisconsin Breast Cancer Database,21_08_2022-16_00_04,7.0,60,7.745966692414834,0.0,24.86122690418156,2.44210526315789,5.87368421052632,2.8596491228070176,5.863157894736837,9.392982456140352,11.056140350877197,2.44210526315789,5.87368421052632,5.407017543859649,7.357894736842107
