Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Wisconsin Breast Cancer Database,21_08_2022-17_05_55,-30.0,60,7.745966692414834,28.28390856995152,49.60504889121325,47.76283185840708,47.88318584070797,45.869026548672565,45.869026548672565,48.64070796460177,48.66194690265486,47.76283185840708,47.88318584070797,44.55929203539824,44.49557522123894
Wisconsin Breast Cancer Database,21_08_2022-17_06_06,-29.0,60,7.745966692414834,26.137401296887745,49.55686053152269,47.06548672566372,47.157522123893806,44.998230088495575,44.941592920353976,48.31150442477876,48.26194690265486,47.06548672566372,47.157522123893806,43.82654867256637,43.663716814159294
Wisconsin Breast Cancer Database,21_08_2022-17_06_16,-28.0,60,7.745966692414834,23.895565901008137,49.502793525405764,46.70088495575221,46.899115044247786,44.123893805309734,44.21592920353983,47.48672566371681,47.6283185840708,46.70088495575221,46.899115044247786,43.18938053097345,43.153982300884955
Wisconsin Breast Cancer Database,21_08_2022-17_06_27,-27.0,60,7.745966692414834,21.589784285139057,49.4421310738801,47.13982300884956,47.36637168141593,43.64601769911505,43.84424778761063,47.76283185840708,47.96106194690265,47.13982300884956,47.36637168141593,42.389380530973455,42.545132743362835
Wisconsin Breast Cancer Database,21_08_2022-17_06_37,-26.0,60,7.745966692414834,19.25920748976874,49.37406912328308,45.823008849557525,45.68141592920354,43.28849557522124,43.01238938053097,47.81238938053097,47.53628318584071,45.823008849557525,45.68141592920354,41.815929203539824,41.773451327433634
Wisconsin Breast Cancer Database,21_08_2022-17_06_48,-25.0,60,7.745966692414834,16.94808759590523,49.29770580437528,46.06371681415929,45.915044247787606,41.71327433628319,41.54336283185841,46.92743362831858,46.750442477876106,46.06371681415929,45.915044247787606,40.994690265486724,40.70442477876106
Wisconsin Breast Cancer Database,21_08_2022-17_06_59,-24.0,60,7.745966692414834,14.70116271772078,49.21202961817783,45.70619469026549,45.713274336283185,41.610619469026545,41.41946902654867,47.143362831858404,47.01592920353982,45.70619469026549,45.713274336283185,40.52743362831859,40.3504424778761
Wisconsin Breast Cancer Database,21_08_2022-17_07_11,-23.0,60,7.745966692414834,12.5577805129832,49.11590623019029,44.658407079646025,44.729203539823004,39.67787610619469,39.706194690265484,45.932743362831864,45.932743362831864,44.658407079646025,44.729203539823004,38.237168141592925,38.3504424778761
Wisconsin Breast Cancer Database,21_08_2022-17_07_23,-22.0,60,7.745966692414834,10.546615539641406,49.008063723749736,44.534513274336284,44.59823008849557,39.1221238938053,39.03008849557522,45.83716814159292,45.80884955752212,44.534513274336284,44.59823008849557,37.780530973451334,37.75221238938053
Wisconsin Breast Cancer Database,21_08_2022-17_07_33,-21.0,60,7.745966692414834,8.68369530677423,48.88707615352067,43.30265486725664,43.316814159292036,38.03539823008849,37.78761061946903,45.33805309734513,45.153982300884955,43.30265486725664,43.316814159292036,36.42477876106195,36.31150442477876
Wisconsin Breast Cancer Database,21_08_2022-17_07_45,-20.0,60,7.745966692414834,6.975846814157507,48.751345232625525,42.690265486725664,42.76106194690266,36.05663716814159,36.22654867256637,44.49203539823009,44.725663716814154,42.690265486725664,42.76106194690266,35.47256637168141,35.67079646017699
Wisconsin Breast Cancer Database,21_08_2022-17_07_57,-19.0,60,7.745966692414834,5.428807064214018,48.59907998341308,42.08849557522124,42.10973451327433,35.81946902654867,35.76283185840708,44.860176991150446,44.838938053097344,42.08849557522124,42.10973451327433,34.96991150442478,35.02654867256637
Wisconsin Breast Cancer Database,21_08_2022-17_08_07,-18.0,60,7.745966692414834,4.055245146617105,48.42827418472981,41.42300884955752,41.5929203539823,33.80884955752212,33.865486725663715,43.674336283185845,43.709734513274334,41.42300884955752,41.5929203539823,33.62831858407079,33.5858407079646
Wisconsin Breast Cancer Database,21_08_2022-17_08_18,-17.0,60,7.745966692414834,2.876364090635893,48.23668146146796,40.13451327433628,40.37522123893805,32.21592920353983,32.336283185840706,42.849557522123895,43.03362831858407,40.13451327433628,40.37522123893805,32.20884955752212,32.3787610619469
Wisconsin Breast Cancer Database,21_08_2022-17_08_28,-16.0,60,7.745966692414834,1.9144773275007385,48.02178789008726,38.286725663716815,38.83893805309735,30.65840707964602,30.821238938053096,42.30796460176991,42.499115044247795,38.286725663716815,38.83893805309735,31.54690265486726,31.759292035398236
Wisconsin Breast Cancer Database,21_08_2022-17_08_39,-15.0,60,7.745966692414834,1.1807139033061753,47.78078204404287,37.869026548672565,38.05309734513275,29.26725663716814,29.090265486725663,41.47610619469027,41.426548672566376,37.869026548672565,38.05309734513275,30.530973451327437,30.495575221238937
Wisconsin Breast Cancer Database,21_08_2022-17_08_50,-14.0,60,7.745966692414834,0.665593930940927,47.51052248579023,36.035398230088504,36.134513274336285,27.054867256637174,26.8283185840708,39.93274336283186,39.69911504424779,36.035398230088504,36.134513274336285,29.42300884955752,29.11858407079646
Wisconsin Breast Cancer Database,21_08_2022-17_08_59,-13.0,60,7.745966692414834,0.33786880324373414,47.20750284151486,34.32212389380531,34.789380530973446,25.2,25.207079646017693,39.161061946902656,39.33805309734514,34.32212389380531,34.789380530973446,28.120353982300884,28.20530973451327
Wisconsin Breast Cancer Database,21_08_2022-17_09_10,-12.0,60,7.745966692414834,0.15185839728673983,46.86781479085938,32.65840707964601,32.729203539823004,23.74513274336283,23.341592920353982,38.095575221238946,37.861946902654864,32.65840707964601,32.729203539823004,27.35929203539823,26.941592920353983
Wisconsin Breast Cancer Database,21_08_2022-17_09_21,-11.0,60,7.745966692414834,0.05924430722244854,46.48710959401428,31.005309734513276,31.444247787610625,22.074336283185836,21.784070796460174,36.94867256637168,36.92035398230088,31.005309734513276,31.444247787610625,26.201769911504424,25.961061946902653
Wisconsin Breast Cancer Database,21_08_2022-17_09_32,-10.0,60,7.745966692414834,0.019568114122143876,46.06055919987823,29.246017699115047,29.38761061946903,20.343362831858403,20.293805309734513,35.95044247787611,35.89380530973452,29.246017699115047,29.38761061946903,24.233628318584067,24.063716814159296
